"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",34660,36677,35616,36392,38458,38712,41969,42592,45346,47152,47336,48433,48869,48666,49455,50362,52142,53847,55548,57930,59464,62912,63601,66039,66240,66868,66619,65004,64479,64315,63224,63495,63141,63167,64223,63368,62799,64625,61000,57655,56260,57338,54745,54569,52602,47901,46417,43622,44593,43843,40457,37280,40152,42882,39080,36047,39935,36913,38234,31595,28038,36452,26366,27698,30763,33236,32506,31224,33486,32244,30317,29021,27251,25647,22889,21971,20253,18559,17186,15483,13695,11650,9169,7827,6770,5566,5066,4336,3532,2860,2407,1928,1326,1020,707,501,396,231,155,112,707,32588,33504,33072,36397,37573,37283,39926,40487,42752,44937,44301,45667,46229,45736,46825,48051,49517,51483,52835,55557,56823,59998,60368,62743,63126,64239,63628,63021,62057,62211,61076,61124,61572,62015,63538,61759,62392,64060,60414,57113,55485,56365,54275,53913,52268,47344,46328,43739,44140,43510,40331,37310,40626,43937,39941,36994,41221,38505,39973,33508,29883,39201,29395,31034,34008,38264,36882,35553,37953,37284,35345,35552,33578,32373,29426,29370,27464,26386,24404,23985,20623,19651,15961,14881,13390,11494,10593,9622,8146,6914,5744,4998,3568,2702,2163,1453,1206,755,563,416,1117
"02","Aragón",4886,4947,4850,4892,4850,4894,5022,5065,5137,5264,5163,5390,5645,5650,5659,5927,6282,6549,6612,7147,7586,8184,8566,9323,9556,10032,10286,10175,10033,10239,9891,10120,9897,9719,9728,9984,9827,10230,9918,9717,9262,9487,9363,9241,9029,8597,8375,7805,7876,8013,7349,7367,7563,7816,7262,7148,7226,7123,6794,6307,5791,6558,4559,4983,5747,6664,6551,6780,6994,6802,6690,6499,6234,6071,5768,5398,5146,5123,4675,4315,3969,3368,2646,2247,1946,1678,1586,1379,1122,1017,747,568,438,372,275,204,145,84,44,37,82,4735,4590,4472,4418,4685,4728,4761,4914,4882,5233,5102,4966,5192,5431,5537,5719,5847,6020,6150,6738,7103,7768,8095,8617,8922,9204,9244,9099,9149,9211,9100,9081,8870,9082,9215,9165,9168,9393,9102,9039,8940,9170,8828,8704,8608,8224,7980,7552,7664,7778,7225,7090,7502,7821,7169,7198,7390,7034,6958,6311,5857,6719,4880,5171,6200,7459,7133,7334,7722,7740,7289,7601,7324,7305,6775,6773,6459,6453,6257,6154,5502,5212,4261,4034,3497,3184,2955,2759,2352,2064,1622,1398,1011,840,619,447,379,244,162,113,210
"03","Asturias, principado de",3319,3252,3311,2957,3010,3163,3394,3391,3675,3826,3993,4016,4126,4430,4855,5318,5621,5717,6186,6429,6954,7470,7823,8347,8686,9019,8856,8635,8235,8372,8309,7964,7831,7690,8019,7794,7889,8087,8031,8113,8111,8396,8313,8250,8461,8139,7787,7659,7698,7685,7185,7288,7378,7554,6823,6976,6829,6284,6076,5150,4887,5212,4031,4608,4945,6107,5938,6244,6273,6362,5821,5968,5313,5336,4910,4765,4418,4162,3694,3484,3075,2676,2144,1783,1522,1391,1184,1058,827,698,604,456,336,229,191,110,71,68,41,22,47,3001,3014,2991,2841,2753,3067,3213,3291,3341,3719,3758,3855,3980,4187,4597,4887,5197,5483,5823,6226,6787,7275,7619,8035,8519,8436,8517,8464,8207,8327,8096,7790,7666,7651,7862,7828,7913,8287,8213,8208,8247,8641,8605,8663,8655,8543,8121,7903,7920,7835,7246,7207,7648,7809,7236,7281,7403,6770,6574,5313,5182,5415,4538,5354,5666,7069,6779,7161,7231,7570,6965,7445,6904,7037,6487,6450,6230,6041,5701,5692,4759,4676,3992,3802,3185,3031,2611,2549,2140,1947,1460,1373,999,818,564,428,344,236,160,105,165
"04","Balears, illes",4329,4611,4255,4607,4590,4494,4582,4613,4669,5017,5017,5052,5000,5001,4978,5051,5291,5398,5609,5900,6272,6868,7314,7730,8099,8678,8907,9071,9149,9255,9082,8901,8542,8518,8536,8422,8361,8521,7910,7408,7302,7612,7112,6901,6664,6467,6214,6135,6075,6202,5702,5548,5559,6028,5439,5372,5346,5073,4890,4330,3914,4472,3369,3415,3662,3911,3654,3694,3699,3491,3228,3180,2958,2735,2771,2625,2330,2223,2080,1859,1792,1592,1233,1167,1012,924,746,693,558,439,376,248,251,156,109,77,47,23,28,14,15,4215,4343,4095,4304,4296,4278,4456,4346,4534,4826,4653,4785,4770,4724,4782,4844,4967,5127,5155,5574,6053,6534,6841,7328,7864,8023,8307,8529,8529,8505,8515,8159,8072,7966,7929,7915,7831,7994,7550,7253,6995,7212,6796,6708,6683,6141,6139,5886,5756,5838,5323,5361,5404,5903,5321,5091,4978,4961,4965,4277,3868,4251,3460,3584,3863,4080,4121,3836,4172,3892,3787,3750,3657,3566,3437,3397,3246,3215,2910,2965,2576,2570,2111,2040,1833,1695,1504,1338,1142,913,812,629,525,405,316,219,142,95,76,47,65
"05","Canarias",7987,9242,9143,9193,8596,8829,9759,9956,10300,10767,10601,10973,11452,11486,11359,11516,11611,12070,12548,13370,14246,14988,15658,15941,16655,17663,18052,18582,18985,19523,19323,19146,18660,18019,18235,17802,17914,17922,17021,16224,15515,15211,14144,13609,13510,13008,12494,11679,11489,11392,10901,10807,10311,10126,9627,9347,9876,9246,8798,8708,7662,8390,6069,6725,7005,7666,7499,7314,7157,6921,6070,5747,5220,4923,4356,4132,3673,3390,3151,2751,2533,2005,1620,1551,1449,1267,1148,1093,798,701,553,427,339,260,188,140,103,61,41,34,106,7512,8462,8687,8447,9259,9418,9408,9361,9806,10146,9880,10476,10809,11116,11070,11064,11218,11580,12170,13108,13857,14716,15364,15769,15884,16567,17088,17680,18211,18209,17937,18008,17619,17056,17289,17014,17189,17020,15981,15628,15009,14681,13398,13157,12574,12230,11905,11535,11188,10804,10509,10140,9969,9662,9462,9531,9791,9010,8787,8803,7650,8524,6529,6980,7443,8486,8141,8095,7851,7948,7114,6760,6267,6094,5463,5106,4715,4777,4240,4082,3502,3269,2669,2582,2479,2228,2109,2009,1590,1322,1139,1005,704,605,479,386,270,160,115,78,209
"06","Cantabria",1973,2121,1957,2041,2019,1962,2020,2062,2157,2387,2338,2471,2479,2593,2696,2922,3053,3168,3387,3588,3928,4191,4239,4510,4662,4702,4610,4496,4444,4324,4282,4447,4309,4392,4379,4347,4294,4242,4240,4212,4209,4268,4411,4440,4348,4152,3962,3785,3755,3838,3599,3656,3522,3738,3381,3270,3010,2816,2822,2461,2274,2541,1767,2164,2376,2748,2708,2721,2717,2736,2593,2571,2359,2403,2157,2112,1953,1914,1671,1526,1341,1122,910,876,744,647,576,472,390,325,244,198,160,107,73,54,58,22,12,9,54,1948,2082,1912,1840,1837,1847,1920,1875,2093,2133,2199,2350,2330,2519,2575,2704,2902,3024,3240,3412,3701,3949,4095,4357,4343,4601,4450,4274,4277,4388,4148,4289,4142,4066,4243,4326,4321,4157,4328,4197,4197,4362,4525,4327,4396,4036,3895,3839,3857,3721,3533,3531,3587,3714,3331,3180,3155,3002,2849,2596,2417,2645,2028,2254,2632,3001,2891,3015,3185,3255,2975,3141,3015,3051,2751,2748,2744,2529,2482,2284,2055,1952,1673,1720,1479,1398,1245,1212,1052,852,680,595,428,376,266,227,140,105,81,56,121
"07","Castilla y león",6955,7922,7740,8566,8942,8677,9313,9700,10062,10627,10904,11024,11487,11887,12209,12888,13785,14146,14552,15431,16248,17351,17730,18943,19010,19577,19204,19205,18904,18986,19053,18824,19085,18916,19126,19045,19538,19735,19768,19236,19293,19621,19376,18822,18658,18083,17359,16508,16484,16274,15169,15385,15221,16337,14414,13775,14706,14132,14279,12541,12005,13343,9837,10495,11985,14750,14009,14257,14401,14684,14018,14052,12853,13111,12009,12136,10962,10544,10188,9508,8650,6911,5442,4769,4321,3959,3559,3040,2735,2282,1992,1587,1274,973,713,559,400,241,167,147,330,6784,7414,7401,7994,8466,8354,9000,8914,9636,9998,10028,10588,11057,10976,11772,12215,12837,13384,13753,14624,15290,16202,17063,17828,17953,18636,18374,18326,17969,17892,17790,17937,18091,18105,18463,18482,18846,19467,18447,18602,18225,18654,18128,17641,17595,16669,15737,14950,14885,14525,13807,14347,14675,15057,13635,13513,14668,13863,14066,12716,12163,13993,10448,11122,12913,16407,15394,15685,15906,16448,15772,16381,15258,15693,14804,15033,14029,13888,13560,13077,11561,10608,8775,8510,7622,7128,6848,6195,5748,4974,4120,3392,2796,2107,1596,1203,920,623,452,350,622
"08","Castilla - la mancha",7436,7977,8231,8324,8520,8767,9377,9495,9893,10390,10408,10676,10764,10715,10746,10954,10931,11516,11625,12250,12791,13206,13335,14337,14146,14415,14461,14221,14250,14142,14088,14461,14464,14822,14680,14679,14778,15370,14727,14132,14074,14484,13803,13387,12679,11443,10734,10224,10298,10310,9252,9459,9511,9973,8993,8054,8770,8626,8713,7345,6406,10067,4926,7013,8595,8974,8960,8978,9672,9550,9204,9472,8903,8770,8254,8030,6995,6662,6615,6187,5512,4300,3309,2999,2660,2329,2091,1795,1547,1322,1047,804,688,505,413,239,188,124,85,71,94,7119,7428,7731,8014,8142,8222,8872,8984,9283,10055,9829,9912,10307,10049,10277,10370,10551,10589,10727,11216,11588,12221,12440,12981,12677,13608,13280,13355,13133,13500,12992,13474,13831,13955,13736,13761,13986,14343,13881,13338,13145,13310,12762,12171,11819,10552,9981,9534,9531,9708,8632,8947,9185,9795,8749,8179,8719,8827,8933,7845,6840,10996,5766,7833,9382,10236,9789,9870,10578,10282,9995,10775,10239,9911,9312,9265,8601,8487,8153,7978,7117,6522,5118,5154,4523,4195,3830,3424,3033,2691,2178,1795,1344,1043,816,593,430,292,201,162,223
"09","Cataluña",32050,32389,30553,30104,30216,29492,29181,29308,29552,30340,30120,30522,30717,31270,31687,32424,34377,35421,37147,40232,43645,46500,49975,54368,56479,58914,60718,60859,59310,59315,58522,57647,56487,55862,56732,56128,54990,55571,51676,50822,49083,49247,48385,48299,47063,44505,43674,42443,42557,42826,40003,39060,41200,43486,40033,37591,39849,37216,36491,31056,29363,37181,20972,25819,31159,32344,30950,30295,30885,29730,28364,27848,25754,24752,23162,22570,21000,19700,18056,16460,15098,12050,9676,8663,7509,6747,5964,5049,4290,3508,2697,2274,1603,1244,826,598,397,301,176,107,198,30242,30606,29283,27978,28410,27498,27511,27969,28040,28930,28403,28652,28892,29595,29595,30887,32616,33373,35505,38327,40776,44463,46896,50810,53265,55034,56426,56452,55652,55262,54156,53723,52514,52186,53277,52296,52116,52993,50334,49252,48621,48967,48711,48232,47301,44567,43974,42888,43024,43045,40744,39774,42036,44953,40886,38553,40825,38670,37560,32134,30216,37940,22014,27321,33120,36489,34656,34100,35492,35078,34129,34589,32018,31717,30328,30618,28932,27932,26196,25567,22990,21769,17965,17240,15065,13777,12502,11632,9854,8692,7093,5927,4559,3393,2700,1955,1415,938,649,483,698
"10","Comunitat valenciana",19302,19563,19253,19346,19484,19916,20425,20608,21721,22470,22083,22774,22857,23420,23772,24326,25168,26268,26810,29237,31315,33410,35307,37774,39063,39523,39493,39097,38619,38264,38018,37741,37332,36973,37438,36832,36301,36734,35297,33656,32959,33185,32869,31840,31080,28234,28052,26598,26529,27449,25310,24849,25160,26941,24434,23674,24144,23182,23171,20360,19470,25854,15345,19240,20820,20725,20696,20192,20636,19663,18830,19157,17334,16593,14912,15284,13636,12698,11705,10930,9615,7845,6208,5301,4568,4043,3544,3152,2644,2161,1601,1340,940,739,545,359,258,157,119,64,392,18067,18562,18490,18272,18455,18498,19270,19538,20238,21202,21128,21607,21838,22050,22111,22996,23998,24663,25556,27606,29410,31991,33486,35174,36301,36960,36560,37225,35743,35566,35587,35219,35167,35111,35912,35015,34755,35788,33668,33140,32394,33112,32411,31418,30836,28496,28365,26896,26966,27460,25780,25438,26420,27459,25322,24355,25445,24606,24105,21736,20144,27597,16727,20868,22453,22544,22428,22639,23566,22134,21797,22753,20863,20835,19297,19682,18601,17481,16208,16394,14232,13263,10778,10176,8894,7845,7195,6323,5290,4797,3645,3225,2308,1793,1309,985,735,522,315,219,581
