"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",45081,51383,49649,50612,48915,48130,46871,45436,45434,46305,45198,44135,44771,44573,45789,46485,49209,50818,51241,51957,52608,53202,54329,55561,57448,59807,61933,64931,66657,70917,71484,73769,74489,74735,74047,72800,71619,71456,70211,69913,69487,69290,70026,68148,67112,68704,64690,60854,59482,59938,57384,56645,54473,49338,47821,44609,45573,44640,41225,37738,40539,43017,39456,36231,39413,36817,37459,30980,27168,34097,24690,25417,27529,28746,27364,25564,26318,24674,22504,20465,18359,16401,13765,12376,10783,9082,7864,6432,5181,4094,2853,2130,1581,1163,956,692,500,348,282,208,273,42754,48003,46770,47346,46498,45326,44939,43216,43317,42871,42264,41475,42396,42221,43253,43959,46133,48147,47765,48849,49747,50417,51687,53285,54700,57556,59119,62111,63851,67002,67888,69848,70680,71178,70549,70041,68626,68944,67576,67676,67763,68067,69338,66712,67147,68464,64428,60913,59093,59533,57507,56926,54868,49784,48700,46023,46247,45373,42351,39113,42575,45728,41978,38835,42418,39806,40961,34334,30491,39117,29258,30406,33122,35996,34551,33037,34133,33131,30556,29594,27206,25357,22222,20903,18756,16918,14638,13243,10484,9050,6421,5349,4254,3295,2643,2066,1485,1148,774,586,961
"02","Aragón",6507,7118,6716,6663,6478,6444,6325,6102,6164,6094,5986,5902,5877,5877,5845,5972,6078,6203,6177,6415,6943,7265,7370,7760,8346,8751,8938,9546,10137,10856,11121,11762,12139,12345,12345,12166,11645,12000,11476,11644,11314,11283,11071,10944,10752,11147,10684,10526,10040,10057,9936,9715,9393,8889,8620,7920,7949,7997,7323,7305,7367,7586,7030,6872,6920,6667,6387,5803,5307,5972,4128,4469,5073,5750,5618,5592,5728,5455,5273,4873,4583,4175,3847,3361,3087,2797,2436,2029,1760,1333,875,679,534,391,303,228,171,129,82,59,85,6068,6650,6320,6213,6064,6204,6018,5749,5925,5685,5578,5346,5584,5587,5519,5719,5688,6010,5982,5951,6448,6983,7231,7539,7691,7836,8121,8721,9239,9847,10121,10492,10744,10725,10824,10571,10440,10527,10399,10310,10071,10356,10462,10003,9967,10182,9888,9642,9606,9813,9410,9173,9091,8611,8348,7803,7908,7977,7393,7224,7646,7879,7222,7187,7346,6952,6939,6174,5768,6547,4736,5020,5995,7012,6778,6812,7091,7070,6443,6588,6206,6029,5486,5211,4664,4561,4162,3769,3167,2738,2019,1703,1335,1037,822,661,500,396,236,164,250
"03","Asturias, principado de",3916,4117,4097,4110,4054,3994,3851,3699,3886,3820,3802,3618,3737,3632,3774,3711,4028,4212,4381,4396,4550,4952,5366,5836,6084,6240,6788,6907,7357,7815,8193,8702,8930,9242,9085,8936,8537,8645,8703,8314,8286,8140,8395,8179,8222,8513,8293,8364,8353,8547,8513,8296,8533,8082,7728,7599,7555,7486,6993,7019,7033,7224,6492,6530,6499,5875,5623,4702,4481,4686,3614,4057,4264,5179,4989,5109,4936,4945,4333,4312,3728,3600,3093,2874,2578,2176,1830,1579,1267,961,722,525,413,315,229,171,128,87,56,26,48,3745,4066,3849,3843,3860,3704,3762,3627,3573,3564,3443,3485,3493,3559,3605,3661,3698,4044,4120,4245,4447,4730,5187,5474,5701,6132,6388,6779,7246,7506,7996,8278,8610,8684,8675,8747,8465,8621,8371,8163,8109,7993,8362,8220,8326,8678,8498,8536,8489,8844,8873,8870,8825,8690,8288,7965,7999,7886,7323,7221,7664,7829,7308,7279,7253,6716,6477,5247,5032,5315,4426,5110,5426,6637,6366,6638,6637,6881,6249,6505,5919,5836,5198,4982,4642,4268,3777,3502,2734,2444,1873,1590,1203,1024,784,621,440,366,207,151,242
"04","Balears, illes",5507,6795,6249,6287,6060,6012,5873,5817,5529,5639,5442,5367,5303,5204,5205,5276,5231,5569,5710,5759,5892,6166,6517,6958,7607,7895,8448,9228,9673,10444,10730,10948,11218,11532,11375,11293,11024,11022,10610,10348,9935,9806,9641,9419,9313,9275,8743,8227,7903,8198,7618,7462,7109,6798,6494,6431,6319,6481,5888,5658,5725,6066,5575,5368,5260,5055,4841,4418,3852,4311,3270,3199,3407,3455,3169,3172,2971,2766,2492,2377,2097,1840,1798,1598,1337,1216,1062,879,793,601,426,336,258,222,162,118,82,55,38,16,41,5217,6170,5774,5930,5564,5671,5654,5444,5435,5333,5133,5045,5048,4944,4979,4952,5091,5345,5309,5547,5871,5985,6547,7000,7537,8008,8369,8857,9442,9942,10096,10269,10259,10256,10240,10213,9897,9778,9792,9266,9183,8956,8797,8772,8673,8723,8285,7921,7691,7853,7374,7342,7215,6697,6663,6406,6269,6316,5777,5740,5748,6247,5635,5404,5189,5241,5154,4462,4037,4362,3548,3597,3781,3895,3904,3622,3841,3556,3375,3311,3093,2929,2758,2643,2316,2202,1931,1852,1509,1332,1011,843,674,583,416,298,227,163,108,71,115
"05","Canarias",8405,10482,10596,10803,10893,11060,11088,10936,11131,11205,11058,10547,10314,10578,10802,10912,11344,11904,11900,12212,12729,12920,13032,13515,13804,14673,15400,16478,17442,18330,18922,19184,19426,20058,20290,20619,20761,21149,20861,20731,19986,19476,19494,19095,19020,19233,18100,17358,16368,16088,14872,14483,14094,13428,13009,12175,11893,11830,11253,11164,10615,10454,10024,9652,9902,9597,9048,8829,7798,8225,6105,6520,6526,6958,6707,6233,5893,5454,4755,4287,3752,3311,2849,2562,2192,1861,1564,1329,1118,841,598,513,412,329,269,224,155,119,79,54,80,7960,9878,9961,10329,10255,10624,10361,10289,10537,10481,10586,9874,10282,10273,10325,10299,10688,10982,10986,11594,12040,12786,13147,13698,14185,14962,15707,16800,17525,18295,18540,18649,18445,18986,19208,19573,19881,19662,19398,19463,18998,18415,18467,18310,18445,18113,17162,16866,16148,15725,14502,14125,13527,13210,12744,12482,12043,11661,11400,10986,10729,10464,10275,10239,10367,9718,9294,9252,8123,8877,6785,7041,7415,8207,7785,7593,7242,7065,6313,5795,5259,4890,4278,3827,3408,3238,2733,2516,1957,1730,1287,1102,952,744,667,528,378,267,210,155,265
"06","Cantabria",2913,3122,2879,2886,2880,2747,2734,2602,2475,2531,2441,2350,2448,2373,2362,2378,2471,2733,2693,2830,2768,2966,3127,3337,3422,3641,3908,4130,4525,4759,4850,5166,5258,5332,5303,5161,5021,4942,4848,4973,4867,4858,4854,4774,4728,4660,4621,4528,4544,4547,4585,4630,4536,4271,4095,3816,3764,3833,3566,3602,3486,3655,3300,3142,2863,2752,2736,2359,2159,2353,1632,1977,2122,2361,2318,2297,2195,2192,1999,1937,1724,1726,1413,1312,1128,1045,859,707,575,407,297,271,181,147,116,77,49,39,30,12,17,2632,2890,2686,2632,2722,2706,2591,2490,2401,2482,2305,2185,2177,2239,2214,2177,2403,2433,2477,2573,2672,2888,2980,3133,3398,3592,3762,3968,4261,4591,4723,4992,5045,5163,5068,4869,4856,4972,4662,4840,4594,4592,4677,4723,4657,4511,4635,4450,4484,4590,4728,4490,4590,4136,4064,3993,4004,3848,3636,3625,3710,3786,3436,3253,3213,3044,2889,2615,2431,2644,1990,2264,2591,2900,2795,2876,2955,3038,2728,2822,2628,2552,2295,2239,2051,1893,1731,1493,1276,1083,828,791,628,509,382,355,237,170,104,87,130
"07","Castilla y león",9910,10856,10573,10619,10642,10646,10328,10435,10194,10496,10112,10096,10481,10331,10435,10810,11249,11722,12053,12192,12743,13365,13686,14503,15415,15816,15986,16854,17697,18616,18950,19999,19972,20466,20119,20197,19843,19850,20174,19862,20365,20149,20468,20093,20493,20697,20803,20106,20261,20293,20047,19446,19044,18415,17545,16629,16537,16264,15143,15204,15026,15975,14080,13390,14231,13718,13782,12044,11353,12522,9083,9644,10802,12971,12146,12093,11980,11935,11184,10767,9573,9334,8326,7815,6782,6165,5601,4794,3962,2843,2027,1534,1302,1020,763,546,465,340,236,164,247,9363,10278,9819,10016,10059,10054,10158,9715,9674,9739,9803,9464,9979,9875,9998,10014,10703,10943,11056,11712,12298,12464,13344,13783,14210,14797,15041,15651,16253,17037,17604,18448,18439,19107,18598,18922,18541,18595,18606,18825,19124,19200,19520,19336,19701,20400,19219,19428,18890,19353,18742,18208,18209,17123,16174,15361,15284,14913,14098,14503,15026,15270,13850,13651,14759,14037,14254,12775,12203,13841,10231,10907,12530,15609,14517,14793,14793,15062,14311,14360,13234,13350,12091,11889,10587,10100,9391,8398,7040,5932,4431,3872,3047,2565,2169,1655,1363,962,694,493,842
"08","Castilla - la mancha",10613,11983,11493,11775,11229,11372,11149,10779,10643,10974,10916,10542,10579,10747,11030,11315,11469,11972,12207,12388,12900,13348,13646,14158,14255,15217,15734,16523,17264,18009,18439,19351,19316,19294,19223,18713,18346,18031,17668,18052,17777,17838,17659,17073,17009,17462,16510,15757,15639,15866,15162,14472,13716,12324,11550,10945,10935,10877,9747,9797,9835,10254,9265,8300,8831,8787,8889,7414,6505,9882,4793,6741,8004,8093,7999,7778,7984,7876,7415,7275,6638,6195,5494,5131,4156,3737,3443,2961,2341,1622,1117,927,697,585,393,362,218,166,89,64,116,9801,11204,10910,10770,10674,10465,10616,10002,10246,10202,10333,10192,10270,10086,10460,10578,10815,11542,11439,11592,12344,12491,13039,13372,13362,13937,14274,14987,15445,16084,16317,16769,16593,17430,16863,16635,16388,16377,15941,16282,16475,16407,16051,15651,15759,15980,15298,14700,14433,14464,13974,13271,12813,11428,10904,10388,10232,10375,9364,9609,9830,10478,9372,8726,9280,9348,9446,8223,7133,11234,5899,7851,9349,9836,9505,9294,9861,9396,9056,9305,8783,8194,7492,6998,6337,5830,5268,4846,3997,3269,2315,2101,1636,1337,1026,769,584,453,334,211,319
"09","Cataluña",43629,46357,43656,43429,42676,41606,40554,38582,37502,37607,36294,35203,35257,34659,34074,34209,34669,35741,35873,36569,37556,38885,40580,42501,46071,48756,51843,56770,60896,64963,67997,72417,73935,75038,75447,74599,71926,70782,68954,67580,64965,64060,63361,61689,60156,60216,55777,54590,52099,52126,50644,50039,48547,45540,44501,42625,42563,42346,39314,38170,40005,41751,38305,35534,37332,34601,33682,28683,26669,33472,18581,22676,26878,27379,25898,24882,24768,23318,21489,20672,18505,17003,15093,13916,12177,10804,9283,7556,6471,4674,3363,2710,1995,1575,1175,873,646,424,248,196,283,40081,43384,41008,40838,40062,39738,38175,36556,35667,35927,34590,32702,33118,31968,32051,32273,32598,33363,33251,34141,35519,37812,39162,42001,44953,47870,50497,54252,57120,61144,63134,66367,67676,68325,68201,67288,65068,64318,62290,61221,59524,58604,59192,57349,57022,57420,54436,52876,51956,51919,51468,50701,49459,46570,45522,44428,44035,44066,41553,40459,42353,44984,40818,38497,40401,38285,37153,31469,29794,36951,21307,26277,31577,34231,32360,31639,32290,31627,30306,30141,27192,26177,24286,23853,21406,19887,17489,16176,13283,11578,8720,7401,5818,4599,3688,2981,2130,1607,1024,719,1124
"10","Comunitat valenciana",25553,29354,28306,28090,27504,27359,26645,25797,25521,25324,24403,24118,24304,24318,24352,24397,25574,26008,26038,26630,27348,28407,29399,30390,31867,33795,35009,38203,40738,43319,45297,47915,48896,48915,48590,47872,46273,45966,45202,44830,43825,43260,43232,41548,40916,41141,39298,37355,36543,36471,35838,34589,33434,30507,30132,28376,28386,29189,26987,26399,26926,28848,26671,25709,25668,25092,24672,21853,20699,26130,16050,19269,20173,19154,18655,17762,17478,15901,14701,14175,12407,11209,9607,9298,7751,6700,5689,4800,3867,2873,2036,1534,1108,956,672,511,352,274,176,127,164,23797,27223,26594,26546,26147,25654,25504,24334,24021,24062,23734,22731,22910,22916,22958,23058,23661,24609,24821,25174,26153,27392,28051,29762,31134,32537,33765,36207,38190,40701,41989,43691,44237,44531,43557,44072,42004,41442,41306,40919,40673,40592,40948,39248,38814,39742,37381,36756,36001,36433,35654,34650,33785,31502,31135,29700,29786,30299,28593,28243,29391,30621,28921,27712,28071,27703,26696,23978,22114,29008,17801,21647,22854,22146,21708,21433,21857,20121,19368,19563,17517,16888,15160,14741,13183,11785,10333,9605,7690,6407,4797,3970,3069,2353,1898,1396,1044,754,477,400,548
