"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",47479,48813,49806,48532,47679,46494,45091,45181,45971,44844,43800,44369,44260,45655,46356,48982,50655,50980,51789,52528,53057,54164,55480,57245,59669,61858,64729,66548,70743,71285,73594,74233,74444,73963,72614,71439,71235,70127,69872,69360,69175,70025,68130,67182,68702,64724,60889,59464,60046,57436,56798,54527,49477,47942,44790,45736,44875,41371,37890,40652,43151,39644,36430,39678,36983,37839,31313,27511,34691,25172,25986,28174,29617,28256,26536,27490,25837,23704,21645,19592,17648,15037,13613,11897,10182,8881,7412,6098,4852,3447,2606,1976,1463,1237,909,643,478,349,276,157,219,44363,45971,46500,46132,44903,44493,42781,42928,42422,41833,41087,42188,42032,43134,43812,45946,48095,47472,48525,49379,49983,51241,52980,54456,57280,58881,61798,63491,66788,67521,69478,70256,70830,70189,69761,68284,68659,67238,67369,67451,67813,69150,66534,66893,68305,64359,60806,58959,59391,57434,56806,54774,49708,48610,45955,46181,45373,42279,39033,42527,45647,41919,38827,42465,39810,41057,34430,30611,39320,29474,30699,33481,36453,35081,33591,34893,33872,31416,30616,28307,26545,23437,22174,20058,18269,16023,14692,11782,10387,7490,6388,5117,3975,3254,2649,1933,1473,1028,751,486,840
"02","Aragón",6626,6780,6527,6435,6368,6264,6045,6099,6040,5938,5867,5826,5812,5794,5913,6000,6108,6043,6308,6882,7160,7353,7769,8304,8732,8988,9670,10245,10987,11300,11893,12243,12510,12487,12313,11779,12087,11575,11750,11401,11331,11155,11069,10820,11188,10737,10551,10111,10106,9980,9800,9444,8944,8688,7940,8014,8050,7362,7342,7442,7641,7100,6954,6970,6751,6491,5913,5401,6089,4183,4558,5192,5924,5781,5814,5933,5676,5481,5128,4818,4450,4115,3646,3359,3097,2695,2294,2037,1594,1033,820,660,500,409,295,216,175,108,88,40,95,6187,6346,6084,6020,6177,5980,5690,5853,5615,5540,5329,5541,5543,5477,5682,5644,5935,5886,5821,6306,6867,7151,7425,7649,7818,8054,8798,9238,9762,10095,10508,10773,10706,10823,10578,10464,10474,10332,10278,10069,10328,10418,9963,9990,10187,9881,9666,9592,9808,9424,9167,9117,8595,8351,7826,7921,7972,7399,7245,7662,7896,7244,7212,7390,6980,6950,6226,5794,6602,4764,5048,6022,7101,6860,6911,7216,7239,6565,6780,6384,6246,5714,5464,4973,4860,4498,4108,3474,3117,2293,1978,1576,1248,1001,841,638,506,316,223,140,226
"03","Asturias, principado de",3875,4034,4017,4016,3946,3837,3661,3859,3806,3779,3590,3719,3582,3738,3682,3983,4162,4315,4353,4526,4908,5360,5794,6092,6209,6740,6873,7343,7862,8182,8686,8916,9184,9057,8938,8521,8652,8646,8293,8276,8120,8396,8154,8201,8529,8295,8368,8390,8554,8528,8306,8592,8112,7797,7614,7609,7529,7046,7089,7081,7293,6548,6603,6569,5949,5721,4753,4541,4779,3671,4151,4365,5322,5159,5275,5161,5183,4565,4576,3976,3819,3360,3154,2815,2403,2059,1806,1464,1150,858,636,504,405,284,230,165,126,78,46,26,46,3834,3799,3747,3823,3667,3741,3593,3524,3535,3420,3447,3451,3555,3546,3642,3670,4038,4076,4181,4385,4634,5130,5397,5702,6095,6330,6823,7297,7513,7945,8301,8554,8658,8658,8709,8413,8590,8337,8124,8085,7978,8320,8207,8303,8667,8495,8517,8469,8845,8851,8860,8830,8693,8295,7964,8001,7900,7347,7238,7692,7857,7329,7297,7281,6740,6509,5271,5069,5349,4466,5142,5489,6720,6458,6744,6767,6982,6405,6681,6091,6012,5443,5220,4895,4549,4069,3820,3045,2759,2183,1887,1434,1251,962,799,586,480,280,217,156,238
"04","Balears, illes",6220,6390,6255,6065,6026,5875,5835,5496,5603,5383,5319,5254,5146,5170,5240,5167,5515,5617,5631,5787,6088,6260,6786,7378,7703,8240,9076,9557,10332,10600,10960,11251,11548,11414,11307,11097,11041,10630,10354,9977,9838,9640,9433,9367,9345,8784,8279,7942,8249,7684,7499,7161,6826,6540,6473,6367,6511,5974,5688,5758,6137,5615,5392,5307,5113,4893,4447,3913,4409,3343,3249,3482,3538,3247,3264,3076,2896,2611,2507,2210,1994,1920,1730,1466,1341,1197,977,921,687,515,408,339,283,209,160,109,79,53,29,31,31,5609,5779,5804,5470,5646,5578,5397,5403,5295,5070,5042,4980,4902,4934,4886,5061,5286,5194,5383,5628,5775,6303,6748,7229,7766,8088,8751,9353,9816,10078,10180,10231,10246,10162,10148,9842,9729,9754,9248,9142,8939,8775,8700,8659,8699,8302,7895,7664,7860,7398,7312,7209,6704,6676,6410,6241,6318,5792,5763,5751,6241,5635,5413,5191,5251,5161,4454,4077,4386,3576,3637,3836,3950,3968,3649,3919,3611,3441,3382,3204,3042,2893,2774,2490,2356,2092,2025,1641,1510,1185,988,826,699,529,363,295,216,156,102,72,108
"05","Canarias",8873,10412,10463,10827,10966,11012,10900,11092,11157,11007,10484,10221,10473,10792,10882,11275,11810,11614,12107,12634,12828,12933,13384,13744,14520,15384,16491,17495,18395,19024,19242,19582,20225,20431,20759,20906,21243,20939,20776,19987,19576,19517,19179,19053,19274,18163,17401,16462,16111,14903,14536,14125,13459,13042,12216,11956,11859,11266,11200,10643,10482,10064,9665,9954,9636,9066,8896,7864,8285,6184,6607,6639,7119,6858,6418,6080,5669,4962,4485,3952,3505,3046,2750,2362,2033,1779,1487,1267,938,673,596,499,377,315,273,181,137,103,67,49,84,8303,9760,9957,10158,10523,10332,10209,10502,10468,10576,9802,10295,10324,10310,10281,10667,10995,10855,11469,11867,12559,12878,13384,14005,14797,15666,16749,17464,18283,18545,18678,18457,19049,19277,19590,19892,19657,19464,19530,18904,18396,18495,18305,18374,18130,17140,16834,16124,15706,14469,14091,13494,13193,12753,12484,12013,11636,11314,10966,10690,10427,10226,10238,10368,9701,9287,9259,8126,8888,6796,7126,7455,8303,7872,7715,7340,7203,6467,5935,5423,5074,4460,4029,3602,3449,2956,2716,2142,1936,1445,1257,1106,890,786,652,461,340,262,193,125,232
"06","Cantabria",3069,2844,2860,2865,2726,2729,2581,2458,2513,2412,2350,2415,2359,2344,2360,2460,2699,2639,2779,2761,2933,3098,3306,3457,3608,3869,4107,4513,4740,4833,5129,5225,5356,5289,5167,5011,4943,4853,4970,4856,4866,4849,4783,4729,4660,4630,4522,4546,4551,4606,4637,4559,4286,4099,3830,3775,3850,3589,3630,3493,3677,3315,3172,2907,2779,2769,2390,2188,2404,1650,2021,2167,2403,2378,2381,2273,2290,2095,2047,1814,1821,1523,1430,1225,1156,961,786,661,488,368,333,227,191,158,100,71,55,37,22,9,17,2798,2665,2602,2678,2675,2557,2478,2379,2460,2285,2171,2157,2198,2185,2165,2382,2402,2433,2539,2621,2842,2934,3105,3355,3532,3718,3934,4217,4563,4724,4929,4968,5158,5043,4841,4835,4945,4647,4805,4607,4573,4648,4701,4646,4479,4612,4446,4487,4585,4735,4489,4568,4145,4047,4003,3995,3829,3643,3611,3714,3768,3433,3268,3220,3063,2897,2623,2437,2659,1997,2276,2593,2939,2819,2930,3011,3095,2786,2892,2704,2635,2379,2335,2159,1995,1868,1598,1402,1212,927,885,725,618,469,433,299,221,135,110,73,124
"07","Castilla y león",10175,10345,10406,10533,10562,10238,10335,10076,10428,10013,10022,10386,10213,10363,10707,11196,11665,11935,12124,12701,13358,13650,14584,15456,15919,16156,17084,17882,18782,19053,20192,20172,20672,20241,20297,19954,19884,20292,19962,20456,20226,20485,20123,20559,20765,20847,20143,20298,20431,20137,19492,19122,18511,17628,16724,16621,16379,15204,15258,15112,16051,14165,13495,14341,13787,13894,12155,11498,12733,9225,9829,11054,13267,12443,12439,12349,12404,11649,11235,10074,9865,8841,8432,7323,6725,6165,5353,4548,3343,2420,1841,1612,1268,982,714,618,445,305,228,146,225,9646,9577,9742,9895,9936,10024,9617,9600,9661,9726,9378,9887,9832,9975,9958,10622,10897,10950,11571,12145,12342,13287,13783,14248,14919,15160,15743,16346,17118,17688,18485,18464,19110,18656,18917,18559,18517,18591,18828,19034,19193,19500,19342,19716,20400,19216,19416,18883,19355,18730,18208,18216,17144,16190,15358,15308,14963,14134,14528,14986,15273,13857,13676,14789,14014,14281,12823,12232,13932,10314,10960,12651,15821,14716,15001,14973,15345,14585,14707,13628,13776,12576,12419,11135,10702,10074,9084,7704,6600,5004,4457,3588,3050,2653,2107,1762,1241,904,669,463,735
"08","Castilla - la mancha",10807,11220,11382,11062,11220,11051,10656,10547,10871,10777,10419,10471,10630,10954,11180,11393,11875,12022,12216,12707,13240,13595,14156,14269,15218,15679,16503,17181,17925,18423,19288,19192,19206,19139,18759,18417,18037,17575,18032,17867,17875,17687,17067,16987,17460,16549,15796,15696,15875,15170,14499,13721,12335,11571,10942,10963,10920,9753,9821,9861,10275,9257,8300,8877,8775,8909,7486,6574,9999,4832,6828,8161,8287,8184,8022,8293,8157,7701,7589,6988,6573,5882,5532,4541,4100,3840,3353,2720,1906,1346,1131,874,738,527,460,306,223,138,93,71,111,10120,10591,10425,10519,10313,10458,9873,10115,10093,10213,10074,10141,9969,10355,10523,10740,11518,11252,11393,12061,12300,12901,13167,13254,13805,14154,14762,15248,15919,16145,16706,16448,17303,16693,16533,16291,16322,15834,16194,16352,16346,15982,15582,15698,15964,15254,14690,14419,14459,13942,13283,12770,11371,10868,10367,10217,10385,9334,9586,9802,10430,9380,8707,9267,9324,9447,8201,7149,11307,5951,7928,9402,9943,9639,9419,10017,9585,9283,9576,9046,8498,7790,7411,6721,6241,5639,5319,4427,3695,2674,2482,1955,1609,1257,970,741,600,440,298,203,278
"09","Cataluña",44696,43914,42946,42526,41507,40389,38422,37313,37350,35967,34892,34983,34291,33684,33795,34179,35178,34979,35962,37144,38293,40139,41972,45636,48408,51641,56601,61059,65462,68410,72868,74636,75872,76242,75441,72567,71339,69499,68257,65648,64519,63928,62235,60694,60697,56273,55146,52612,52596,51005,50559,48929,45931,44875,43013,42958,42721,39674,38568,40385,42224,38747,36015,37858,35093,34226,29140,27169,34145,18991,23195,27558,28143,26670,25715,25634,24303,22517,21743,19558,18164,16252,15091,13386,11911,10384,8689,7433,5486,4077,3253,2453,2005,1497,1169,843,583,353,274,163,230,41518,41140,40241,39854,39583,37968,36363,35530,35761,34302,32457,32868,31737,31802,32052,32315,32987,32555,33427,34719,36797,38123,40770,43781,46738,49616,53585,56553,60613,62857,66191,67625,68100,68203,67307,65100,64291,62310,61210,59665,58596,59183,57441,57103,57431,54533,53036,51975,52082,51581,50810,49669,46731,45701,44563,44200,44266,41738,40661,42558,45196,41026,38719,40657,38469,37363,31708,29997,37192,21476,26521,31945,34672,32847,32159,32860,32266,30943,30972,28042,27159,25378,25009,22675,21227,18861,17633,14776,13015,9954,8701,6895,5587,4545,3759,2803,2140,1407,986,668,975
"10","Comunitat valenciana",27481,28284,27721,27338,27175,26500,25734,25506,25181,24325,24033,24238,24266,24260,24274,25471,25960,25827,26453,27102,28328,29321,30358,32009,33910,35105,38470,41100,43727,45773,48368,49260,49401,48905,48165,46556,46312,45471,45066,44068,43506,43521,41716,41174,41386,39503,37564,36678,36651,36027,34758,33615,30713,30324,28547,28527,29344,27159,26536,26998,28937,26774,25771,25807,25146,24849,22038,20967,26498,16300,19659,20640,19657,19177,18313,18064,16549,15390,15001,13144,12000,10392,10148,8532,7429,6423,5459,4443,3392,2467,1849,1385,1219,862,689,478,362,234,171,101,133,25489,26493,26178,25982,25548,25371,24216,23922,23948,23634,22663,22765,22815,22820,23014,23555,24648,24578,24908,25822,27153,27722,29507,30913,32408,33695,36083,38237,40903,42082,43776,44316,44567,43652,44079,42052,41462,41342,40914,40741,40604,40985,39275,38829,39790,37373,36808,36051,36461,35708,34656,33863,31557,31183,29682,29746,30270,28542,28269,29307,30563,28825,27677,28074,27694,26743,24043,22191,29223,17918,21819,23089,22462,21976,21732,22233,20537,19864,20127,18132,17599,15880,15567,14055,12661,11270,10597,8654,7298,5552,4688,3695,2884,2364,1808,1356,1015,644,554,323,459
