"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",39391,41624,44295,45852,47406,49027,52406,50437,50954,49053,48390,47050,45576,45551,46321,45474,43767,44292,44248,45439,46330,48995,50249,50725,50930,51344,51838,52505,53422,54902,57158,59285,62401,64394,68446,69452,72095,72730,73105,72566,71284,70171,69958,68502,68391,67752,67432,68219,66377,65551,66815,62890,59180,57630,57761,55314,54725,52552,47459,45866,42735,43581,42762,39478,35765,38497,40656,37208,33822,36487,33755,33943,27559,24017,29715,20866,21186,22609,23031,21467,19492,19589,17743,15537,13487,11506,9787,7650,6552,5206,4103,3311,2463,1743,1246,810,542,413,266,192,501,37273,39095,41791,43546,44761,46198,48963,47760,47919,46982,45696,45142,43566,43652,43161,42610,41114,41840,41675,42624,43779,46056,48044,47898,48911,49670,50373,51341,52529,53884,56347,58172,61129,63052,66117,66958,69251,70056,70507,69673,69503,67954,68177,67013,66852,66883,67413,68689,65896,66182,67690,63419,60053,58356,58677,56534,56039,54190,49027,47923,45189,45382,44562,41619,38428,41649,44590,40874,37604,40964,38148,39028,32251,28610,36372,26980,27704,29749,31978,30323,28263,28568,27177,24206,22775,20041,17886,14783,13118,11051,9280,7414,6101,4435,3466,2295,1672,1223,880,696,1592
"02","Aragón",5888,5978,5994,6399,6518,6689,7013,6777,6607,6392,6378,6262,6075,6118,6149,5974,5896,5840,5916,5928,6099,6155,6290,6234,6549,6999,7106,7128,7465,7895,8284,8450,8984,9422,10229,10431,11013,11318,11664,11583,11471,11074,11250,10800,11032,10700,10541,10473,10448,10309,10572,10187,10034,9568,9525,9425,9245,8938,8377,8142,7477,7463,7528,6871,6808,6897,7126,6609,6398,6438,6147,5829,5279,4798,5347,3612,3895,4346,4914,4726,4549,4529,4252,3916,3493,3168,2695,2377,1961,1730,1432,1119,868,677,434,248,174,108,85,57,107,5431,5688,5755,6126,6284,6328,6514,6358,6164,6002,6166,5998,5710,5877,5651,5620,5284,5527,5555,5601,5819,5847,6234,6250,6145,6533,6903,7030,7342,7490,7634,7838,8481,8912,9560,9778,10204,10584,10521,10632,10389,10267,10361,10266,10126,9930,10151,10302,9868,9843,10025,9727,9511,9483,9592,9194,8981,8898,8434,8121,7635,7701,7775,7196,7051,7425,7640,7033,6992,7098,6717,6693,5954,5515,6222,4454,4699,5590,6422,6212,6139,6250,6120,5469,5450,4930,4614,3927,3620,3036,2841,2355,1943,1584,1225,804,623,443,301,207,410
"03","Asturias, Principado de",3281,3366,3919,4005,3932,4230,4232,4212,4168,4127,4061,3912,3774,3965,3915,3900,3657,3824,3753,3822,3845,4123,4275,4391,4379,4525,4836,5155,5553,5732,5888,6327,6480,6951,7444,7755,8380,8647,8988,8792,8610,8352,8476,8439,8186,8177,7931,8233,8023,8017,8273,8049,8137,8103,8268,8176,8038,8194,7781,7417,7248,7164,7084,6647,6648,6599,6761,6056,6057,6010,5439,5084,4233,4014,4127,3137,3458,3614,4270,4044,4078,3808,3733,3210,2944,2442,2225,1825,1585,1301,1033,805,627,440,328,259,143,84,69,50,91,3073,3205,3590,3758,3905,4063,4175,3939,3903,3920,3787,3813,3717,3641,3693,3544,3561,3528,3625,3627,3768,3886,4183,4252,4331,4469,4678,5106,5293,5516,5871,6084,6543,7036,7321,7816,8117,8464,8546,8629,8662,8413,8562,8344,8118,8117,8005,8367,8197,8292,8651,8387,8462,8448,8721,8797,8748,8692,8526,8163,7782,7870,7695,7159,7071,7483,7605,7077,7091,7017,6459,6250,5023,4836,5063,4141,4766,5019,6079,5817,5923,5861,5905,5283,5274,4726,4402,3783,3463,3037,2610,2146,1852,1291,1084,704,532,372,271,204,380
"04","Balears, Illes",5032,5452,5639,6019,6172,6191,6654,6332,6185,6011,5933,5772,5792,5507,5628,5409,5244,5298,5196,5258,5385,5465,5829,6142,6322,6530,6962,7014,7409,7999,8271,8755,9240,9587,10150,10298,10581,10632,11002,10891,10759,10503,10460,10118,9815,9391,9241,9134,8837,8685,8634,8186,7604,7372,7570,7116,6921,6533,6270,5928,5888,5734,5917,5358,5066,5122,5395,4890,4691,4601,4320,4083,3647,3115,3541,2608,2499,2685,2646,2471,2404,2209,1993,1698,1576,1333,1092,1038,856,675,587,490,364,262,184,127,85,52,43,28,40,4599,5236,5488,5501,5992,5920,6166,5887,5960,5516,5673,5570,5386,5372,5263,5178,4931,4961,4944,5062,5152,5480,5947,6106,6448,6737,7020,7386,7815,8190,8448,8659,8978,9452,9730,9827,10006,9991,9999,9808,9957,9646,9559,9487,8991,8915,8613,8523,8530,8378,8455,8006,7629,7419,7579,7058,7063,6865,6347,6328,6024,5837,5903,5459,5304,5378,5832,5209,4930,4755,4724,4616,3933,3561,3874,3087,3128,3322,3398,3403,3107,3209,2959,2749,2617,2378,2160,1933,1748,1440,1277,1060,880,680,534,353,294,199,132,121,162
"05","Canarias",7588,8056,9152,9326,9761,10145,10960,11040,11077,11023,11124,11121,11053,11183,11207,11079,10515,10307,10511,10605,10953,11342,12126,12140,12477,13094,13434,13271,13646,13698,14362,15014,15991,16877,17610,18060,18521,18861,19514,19635,20030,20217,20440,20257,19854,19268,18832,18866,18380,18272,18496,17382,16631,15569,15011,14031,13549,13188,12535,12220,11353,11050,11027,10456,10144,9832,9591,9073,8658,8873,8485,7909,7466,6447,6729,4911,5138,5061,5276,5000,4620,4263,3863,3135,2783,2281,1960,1526,1335,1046,862,678,491,365,248,183,168,124,76,60,170,7195,7739,8607,8780,9222,9656,10364,10359,10628,10495,10736,10450,10355,10552,10446,10673,9712,10110,10083,10120,10322,11111,11754,11912,12630,13051,13688,13728,13942,14256,14765,15350,16310,16896,17533,17850,18082,17920,18508,18696,19039,19526,19324,19081,18890,18651,18075,18039,18007,18068,17781,16821,16437,15725,15169,13946,13594,13048,12767,12254,11946,11528,11142,10886,10341,10268,9961,9691,9698,9645,8983,8523,8269,7262,7818,5905,6102,6399,6982,6549,6320,5965,5801,4922,4412,3882,3573,2903,2446,2069,1815,1428,1188,856,676,511,390,327,245,189,459
"06","Cantabria",2298,2470,2636,2793,2858,2899,3038,2836,2882,2853,2738,2750,2604,2483,2563,2468,2381,2449,2420,2400,2423,2518,2749,2665,2805,2739,2864,2990,3182,3334,3505,3733,3963,4329,4616,4720,5015,5113,5135,5154,5043,4846,4765,4680,4823,4753,4723,4700,4611,4586,4500,4437,4376,4405,4403,4379,4464,4363,4115,3895,3606,3592,3636,3366,3410,3306,3410,3109,2914,2699,2581,2492,2152,1964,2100,1414,1751,1790,1993,1915,1850,1709,1636,1487,1380,1157,1094,859,748,568,475,388,307,239,139,96,79,58,30,16,35,2099,2312,2422,2605,2730,2784,2904,2725,2653,2788,2733,2643,2500,2433,2517,2377,2213,2209,2236,2252,2210,2450,2471,2555,2635,2687,2934,2967,3103,3294,3530,3696,3892,4174,4504,4651,4923,4985,5119,5039,4792,4796,4853,4629,4773,4540,4526,4652,4688,4640,4474,4611,4419,4440,4511,4674,4461,4503,4043,3999,3928,3932,3756,3561,3562,3656,3699,3378,3184,3134,2974,2787,2548,2356,2544,1880,2128,2444,2667,2582,2627,2596,2638,2324,2308,2115,1969,1664,1585,1405,1193,988,801,672,526,340,303,209,127,113,210
"07","Castilla y León",8824,9136,9708,10149,10458,10516,11055,10689,10609,10622,10591,10310,10436,10226,10617,10167,9987,10344,10276,10384,10765,11267,11664,11936,11962,12314,12614,12787,13413,14058,14517,14594,15478,16341,17260,17698,18659,18799,19398,18961,19180,18971,18958,19393,18942,19640,19302,19724,19416,19885,20053,20003,19470,19574,19593,19334,18783,18387,17804,16875,15975,15806,15562,14498,14588,14427,15209,13361,12688,13372,12884,12758,11088,10404,11307,8112,8522,9407,11068,10228,9960,9603,9343,8649,7950,6736,6321,5358,4691,3912,3238,2716,2203,1619,1025,648,433,341,248,167,315,8010,8413,9110,9563,9869,9974,10514,9987,10039,10115,9996,10236,9727,9780,9862,9852,9416,9881,9816,9914,10003,10764,11065,11108,11540,11826,11817,12365,12700,13024,13643,14050,14713,15296,16128,16894,17714,17795,18602,18127,18439,18075,18279,18254,18500,18837,18890,19273,19092,19444,20127,19051,19161,18664,19097,18485,17961,17914,16859,15845,15095,15010,14720,13891,14318,14756,14994,13555,13323,14428,13591,13788,12326,11786,13216,9738,10300,11710,14456,13375,13446,13244,13187,12313,12025,10859,10469,9145,8426,7253,6465,5689,4664,3639,2787,1850,1467,1056,783,589,1209
"08","Castilla – La Mancha",9009,9661,10267,10957,11195,11597,12068,11374,11618,11105,11198,10984,10724,10609,10912,10781,10399,10457,10628,10897,11202,11343,11916,12034,12122,12325,12513,12620,12929,13073,14078,14562,15271,16012,16835,17188,18039,18193,18178,17940,17726,17383,17089,16774,16924,16773,16916,16758,16273,16332,16677,15780,15163,15026,15238,14495,13872,13092,11809,11025,10430,10452,10405,9300,9380,9428,9819,8805,7794,8299,8189,8213,6765,5832,8867,4169,5895,6830,6814,6613,6350,6398,6151,5566,5249,4567,4038,3506,3060,2294,1891,1598,1254,826,567,350,251,169,116,74,161,8443,9158,9915,10247,10558,10774,11327,11052,10783,10596,10410,10564,10033,10105,10207,10300,9883,10114,9937,10227,10463,10762,11512,11416,11509,11868,11859,12300,12443,12607,13148,13618,14258,14688,15374,15802,16244,15996,16893,16376,16171,16033,15951,15647,15872,15976,16034,15776,15395,15370,15690,15037,14464,14192,14229,13734,12968,12578,11253,10640,10179,10046,10177,9156,9411,9598,10228,9192,8447,8920,8948,9113,7852,6710,10589,5450,7310,8590,8949,8500,8237,8544,7965,7570,7525,6829,6145,5400,4799,4110,3495,2918,2421,1829,1378,890,700,511,359,251,498
"09","Cataluña",36215,36998,39518,41410,42913,43468,45072,43176,42830,42078,41136,40210,38444,37452,37801,36576,35552,35651,35513,35080,35570,36362,37516,37445,38229,39306,40481,41592,43056,46021,47751,50399,54398,58000,61264,64140,68370,70088,70848,71300,70399,67884,66972,64943,63641,61171,60383,59969,58598,57097,57330,52975,51688,49457,49463,48057,47508,45921,43028,42076,40375,40302,40018,37092,35798,37551,39017,35539,32905,34484,31693,30512,25990,23920,29694,16242,19424,22919,22968,21420,20215,19490,17985,16070,14729,12681,10946,9311,8006,6541,5376,4241,3298,2395,1661,975,752,487,322,233,379,33736,35120,37368,39205,40024,40364,42640,40568,40431,39628,39338,37766,36259,35639,35909,34562,32672,33227,32330,32860,33539,34520,35899,36264,37452,39222,41241,42216,44490,46620,48810,50731,54062,56342,59749,61457,64647,65783,66631,66479,65519,63586,62735,60747,59935,58321,57397,57979,56330,55938,56230,53334,51873,50957,50963,50340,49590,48335,45533,44446,43323,42963,43003,40542,39396,41217,43823,39675,37287,39100,36874,35597,30112,28401,34973,19956,24518,29487,31339,29453,28433,28588,27453,25625,24725,21612,20120,17881,16617,14054,12250,10020,8619,6491,5064,3505,2595,1881,1297,867,1737
"10","Comunitat Valenciana",21631,22591,24264,25554,26630,27152,29099,28169,27739,26930,27011,26248,25314,25056,25000,24059,23665,23829,23878,23959,24103,25327,25882,25941,26466,26803,27597,28129,28832,29902,31596,32540,35511,37808,40149,41824,44448,45440,45755,45305,44879,43417,43166,42542,42119,41302,40696,40876,39479,38685,38899,37338,35375,34467,34384,33910,32753,31615,28761,28522,26711,26682,27371,25369,24752,25197,26900,24711,23685,23416,22669,21983,19032,17595,22330,13121,15570,16199,15030,14481,13535,13074,11489,10217,9324,7886,6762,5524,4877,3812,3030,2299,1840,1305,886,596,368,271,209,122,254,20380,21287,23037,23824,24824,25569,27406,26641,26363,25888,25220,25163,23891,23598,23742,23337,22057,22238,22348,22530,22886,23765,24844,25089,25565,26158,27015,27473,28749,29891,31190,32081,34358,36155,38785,39981,41725,42440,42801,42060,42600,40619,40195,39973,39675,39510,39309,39773,38276,37795,38716,36420,35819,35006,35431,34748,33547,32740,30490,30166,28699,28695,29286,27621,27181,28442,29288,27445,26162,26457,25819,24824,21898,19901,26428,15658,19210,20264,19275,18759,18387,18394,16596,15592,15172,13152,12161,10309,9572,7877,6673,5390,4552,3366,2419,1724,1243,870,588,467,906
