"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",41892,45065,47013,48816,52389,50591,51196,49203,48521,47254,45728,45625,46519,45513,44437,45015,44192,44921,46232,48968,50446,50955,51345,52059,52620,53295,54374,56302,58447,60748,63789,65619,69781,70679,73445,73886,74296,73771,72538,71311,71057,69680,69511,68940,68622,69414,67526,66632,68003,64012,60203,58703,59005,56521,55780,53579,48478,46915,43854,44695,43753,40452,36806,39561,41841,38511,35240,38059,35392,35723,29333,25580,31861,22826,23188,24928,25680,24082,22224,22513,20656,18445,16487,14338,12454,9980,8815,7284,5920,4928,3789,2906,2157,1428,1033,748,532,397,282,204,392,39433,42771,44317,46021,48947,47725,48005,47048,45736,45350,43706,43838,43355,42712,41705,42672,41776,42083,43453,45817,47943,47891,48962,49999,50750,51746,53115,54620,57172,59057,62026,63904,67142,67823,70019,70718,71288,70527,70154,68652,68899,67641,67605,67616,68064,69427,66576,66924,68405,64165,60731,58904,59380,57247,56707,54785,49620,48516,45803,45992,45247,42279,38981,42346,45423,41695,38399,41895,39138,40199,33413,29613,37883,28221,29156,31451,33993,32306,30549,31163,29899,27050,25856,23208,21162,17932,16387,14193,12311,10302,8680,6622,5448,3673,2895,2102,1582,1192,858,630,1329
"02","Aragón",5785,6464,6525,6771,7173,6886,6710,6490,6471,6361,6176,6237,6227,6065,6018,5978,5987,5898,6048,6205,6301,6309,6571,7146,7406,7469,7755,8353,8706,8914,9436,10000,10778,10930,11540,11984,12162,12171,12015,11514,11770,11287,11482,11151,11034,10921,10815,10657,10933,10536,10303,9875,9871,9736,9529,9211,8680,8398,7725,7728,7794,7111,7039,7116,7357,6807,6624,6641,6377,6055,5512,5048,5612,3838,4139,4662,5270,5117,4965,5031,4803,4483,4064,3771,3301,2954,2509,2259,1933,1645,1274,1037,735,444,336,219,160,111,88,47,122,5562,6159,6305,6399,6627,6502,6317,6121,6293,6146,5818,5977,5727,5687,5413,5673,5599,5550,5771,5822,6201,6287,6216,6705,7147,7329,7709,7905,7925,8218,8768,9272,9884,10152,10569,10831,10781,10929,10593,10490,10588,10433,10369,10173,10357,10529,10034,9977,10198,9914,9645,9614,9784,9354,9149,9055,8586,8288,7772,7821,7934,7333,7147,7531,7762,7133,7109,7212,6845,6794,6067,5629,6371,4613,4865,5755,6719,6471,6418,6674,6572,5939,5980,5478,5232,4625,4312,3707,3546,3087,2652,2144,1727,1271,1011,721,505,385,315,212,341
"03","Asturias, Principado de",3722,3956,3884,4229,4231,4219,4153,4124,4067,3906,3761,3940,3899,3883,3643,3794,3698,3781,3773,4110,4266,4433,4421,4620,4985,5320,5766,5955,6117,6549,6708,7180,7656,7912,8507,8811,9116,8922,8760,8458,8539,8593,8262,8250,8058,8306,8139,8113,8388,8213,8242,8225,8397,8320,8149,8330,7897,7554,7379,7332,7251,6783,6817,6775,6974,6244,6277,6236,5626,5330,4410,4199,4366,3367,3693,3885,4651,4422,4511,4268,4206,3678,3483,2972,2819,2326,2065,1781,1466,1165,936,689,531,398,250,171,118,100,61,46,79,3419,3666,3823,4046,4160,3926,3904,3909,3764,3826,3682,3633,3647,3518,3549,3536,3580,3565,3723,3774,4129,4243,4358,4515,4774,5233,5447,5668,6039,6216,6671,7144,7408,7919,8212,8576,8588,8677,8754,8484,8625,8391,8149,8157,8047,8378,8233,8328,8650,8430,8511,8485,8783,8841,8770,8753,8598,8234,7869,7912,7764,7231,7136,7577,7718,7168,7176,7129,6585,6373,5133,4913,5144,4280,4922,5206,6328,6057,6231,6234,6362,5724,5815,5264,5016,4435,4086,3707,3318,2786,2492,1846,1542,1104,897,631,506,350,273,182,329
"04","Balears, Illes",5099,5973,6079,6163,6729,6315,6202,6067,5995,5806,5854,5548,5667,5461,5322,5350,5213,5157,5286,5328,5655,5886,6015,6212,6566,6805,7213,7873,8169,8645,9214,9642,10360,10483,10753,10851,11248,11083,11068,10746,10750,10333,10133,9685,9515,9400,9131,8991,8945,8439,7923,7678,7894,7395,7201,6797,6516,6198,6165,6034,6236,5655,5346,5423,5758,5248,5032,4918,4702,4428,4029,3458,3924,2950,2846,3010,2983,2781,2761,2507,2331,2053,1930,1644,1394,1320,1160,917,836,717,551,437,319,232,162,117,88,68,46,32,30,4966,5452,5858,5904,6163,5955,6015,5571,5687,5637,5437,5427,5351,5173,5029,4997,4950,4938,4972,5190,5571,5747,6056,6346,6626,7078,7570,8016,8364,8583,9023,9495,9936,10025,10196,10104,10130,10051,10131,9767,9749,9683,9147,9075,8821,8702,8715,8577,8605,8179,7827,7583,7764,7260,7218,7104,6573,6557,6251,6112,6126,5638,5578,5578,6077,5445,5192,5000,5005,4886,4211,3778,4125,3338,3384,3552,3643,3644,3355,3512,3220,3026,2951,2736,2505,2231,2148,1813,1673,1429,1262,1000,813,571,466,353,264,199,126,83,146
"05","Canarias",8087,9190,9487,10042,10856,11003,11059,11028,11107,11158,11007,11199,11216,11087,10614,10450,10416,10334,10655,11087,11773,11729,12096,12711,13057,13110,13592,13704,14511,15177,16263,17195,17929,18494,18797,19234,19934,20028,20428,20541,20817,20621,20335,19690,19181,19204,18802,18661,18883,17792,17032,16053,15514,14422,13956,13679,12986,12631,11807,11498,11427,10911,10605,10240,10080,9608,9205,9496,9143,8521,8256,7177,7486,5558,5932,5828,6118,5832,5379,5032,4618,3918,3486,2938,2585,2074,1849,1500,1241,1015,787,628,467,334,278,199,154,119,121,67,141,7543,8642,9043,9539,10288,10330,10582,10431,10739,10411,10371,10573,10476,10628,9863,10298,10007,9786,9912,10521,11034,11205,11999,12432,13263,13442,13940,14364,14924,15613,16538,17262,17909,18267,18438,18262,18824,18998,19316,19820,19561,19368,19203,18856,18318,18290,18215,18254,18025,17014,16643,15963,15352,14229,13820,13368,13023,12564,12313,11833,11469,11175,10682,10607,10262,10113,10133,10104,9484,9021,8839,7756,8422,6436,6670,6972,7635,7192,6965,6624,6386,5580,5081,4518,4145,3541,3034,2642,2404,1928,1671,1295,1080,782,631,529,399,328,240,179,378
"06","Cantabria",2543,2776,2863,2902,3086,2853,2851,2876,2753,2755,2602,2498,2575,2455,2387,2470,2412,2413,2424,2548,2791,2675,2837,2762,2916,3090,3277,3442,3597,3834,4047,4439,4758,4781,5125,5203,5258,5244,5094,4966,4869,4772,4913,4850,4814,4813,4684,4644,4608,4540,4478,4490,4497,4477,4548,4438,4215,3995,3719,3686,3740,3471,3498,3387,3501,3210,3018,2779,2672,2614,2238,2048,2213,1507,1844,1912,2142,2076,2050,1919,1862,1681,1612,1411,1342,1076,971,785,694,564,457,357,228,155,122,92,58,35,27,20,27,2328,2594,2724,2790,2930,2733,2675,2798,2735,2656,2516,2441,2521,2368,2210,2212,2250,2226,2191,2446,2473,2524,2659,2744,2957,3053,3203,3392,3591,3766,3969,4233,4608,4718,4991,5025,5156,5081,4816,4895,4914,4672,4827,4599,4580,4715,4719,4652,4499,4620,4464,4473,4561,4699,4489,4547,4083,4034,3964,3966,3817,3578,3598,3687,3755,3410,3231,3180,3015,2826,2588,2402,2600,1928,2186,2517,2776,2693,2748,2760,2825,2519,2529,2356,2215,1938,1870,1718,1505,1304,1075,895,744,507,479,330,246,194,171,103,152
"07","Castilla y León",9305,10043,10486,10567,11122,10800,10680,10737,10694,10351,10465,10249,10650,10226,10175,10563,10241,10249,10670,11250,11697,12034,12161,12626,13111,13325,14022,14785,15171,15271,16291,17075,17975,18373,19361,19458,19973,19544,19794,19417,19500,19860,19434,20024,19769,20187,19762,20228,20443,20452,19836,19967,19958,19685,19131,18702,18108,17195,16289,16154,15852,14802,14879,14724,15546,13757,13026,13803,13286,13230,11531,10841,11849,8545,9025,10015,11952,11077,10894,10638,10460,9679,9116,7881,7537,6556,5941,5049,4310,3794,3141,2405,1661,1083,768,614,450,307,213,174,295,8721,9496,9827,10051,10550,10035,10112,10195,10049,10302,9774,9829,9831,9880,9564,10056,9813,9849,9893,10618,11016,11150,11721,12265,12330,12898,13235,13553,14138,14599,15242,15716,16558,17309,18090,18109,18908,18417,18715,18337,18509,18501,18724,19040,19117,19463,19247,19622,20244,19207,19343,18807,19258,18666,18115,18092,17008,16030,15236,15154,14836,13997,14451,14906,15125,13732,13487,14602,13837,13978,12524,12002,13514,9999,10597,12093,14959,13900,14065,13933,14004,13238,13095,11908,11787,10443,9898,8652,7995,7222,6169,4960,3937,2768,2292,1693,1341,1060,771,548,1046
"08","Castilla – La Mancha",9728,10951,11218,11761,12300,11644,11827,11320,11366,11150,10818,10763,11032,10961,10611,10644,10689,10859,11182,11424,12062,12208,12420,12863,13183,13376,13820,13908,14831,15392,16145,16953,17814,18093,18955,19069,18967,18872,18507,18168,17801,17375,17643,17387,17501,17388,16770,16798,17189,16195,15524,15375,15608,14883,14199,13450,12063,11318,10660,10728,10618,9521,9648,9679,10004,9042,8068,8607,8494,8529,7039,6113,9325,4432,6253,7347,7372,7200,6973,7061,6879,6356,6085,5406,4937,4261,3905,3026,2600,2246,1890,1367,892,576,438,323,249,139,138,80,133,9287,10308,10701,10924,11557,11302,10951,10780,10594,10724,10156,10299,10322,10445,10180,10370,10052,10213,10431,10810,11635,11647,11806,12488,12585,13001,13157,13225,13787,14229,14879,15316,16040,16327,16761,16486,17396,16822,16607,16396,16338,15991,16200,16327,16337,16057,15613,15615,15902,15279,14660,14388,14421,13922,13154,12756,11368,10770,10314,10152,10328,9284,9503,9710,10355,9322,8639,9125,9160,9309,8015,6921,10873,5669,7549,8909,9362,8929,8697,9111,8598,8243,8314,7691,7044,6271,5719,5045,4484,3883,3300,2607,2041,1325,1190,835,649,470,335,248,416
"09","Cataluña",38388,41621,43185,44088,45682,43655,43323,42443,41507,40471,38670,37636,37839,36542,35685,35698,35058,34526,35249,35892,37037,36983,37808,38795,40271,41644,43446,46676,48837,51533,55943,59685,63245,65945,70229,71901,72838,73371,72387,69739,68724,66968,65603,62921,62151,61616,60100,58572,58614,54272,53013,50650,50673,49320,48701,47119,44194,43093,41493,41272,41110,38145,36873,38681,40283,36775,34059,35779,32975,31925,27198,25103,31342,17322,20871,24630,24881,23343,22184,21764,20289,18355,17237,15057,13338,11641,10332,8701,7393,6082,4860,3768,2622,1722,1302,905,636,442,326,204,323,36259,39596,40291,40884,43187,41134,40999,39983,39726,38098,36518,35754,36105,34710,32888,33358,32136,32286,32720,33497,34871,35006,36285,37957,40292,41729,44286,46899,49217,51399,54904,57300,60845,62736,65910,67057,67750,67572,66578,64492,63721,61665,60566,59137,58135,58632,56977,56584,56960,54067,52466,51609,51554,50962,50239,49010,46154,45047,43981,43531,43477,41129,39957,41772,44449,40244,37916,39790,37545,36313,30787,29103,35926,20581,25321,30467,32657,30798,30006,30394,29437,27744,27221,24030,22823,20657,19737,17210,15500,13010,11528,9079,7443,5323,4214,3106,2251,1643,1260,836,1437
"10","Comunitat Valenciana",22771,25203,26392,27301,29378,28648,28126,27328,27318,26581,25676,25430,25318,24431,24138,24390,24140,24055,24259,25554,26247,26328,26870,27586,28322,29216,29994,31204,32989,34031,37045,39579,41899,43726,46451,47423,47604,47115,46575,45185,44748,44182,43682,42825,42239,42381,40824,40067,40319,38644,36671,35831,35783,35089,33888,32805,30017,29694,27811,27793,28646,26487,25947,26426,28349,26204,25273,25098,24439,23864,21024,19652,24690,15021,17823,18535,17425,16797,15805,15295,13687,12487,11573,10009,8719,7319,6746,5457,4514,3614,3010,2272,1579,1064,737,553,438,276,218,137,211,21713,23491,24642,25566,27629,26997,26663,26243,25545,25406,24267,24032,24174,23709,22691,22970,22664,22612,22869,23816,24982,25381,25769,26638,27702,28263,29701,30876,32258,33198,35593,37403,40047,41187,42908,43655,43940,43122,43631,41630,41188,40872,40647,40473,40246,40668,39016,38645,39679,37245,36652,35850,36345,35545,34485,33740,31306,31101,29605,29657,30265,28521,28319,29483,30533,28875,27590,27858,27480,26376,23530,21619,28299,17247,20880,21929,21021,20539,20193,20296,18467,17511,17340,15317,14456,12523,11928,10203,8833,7469,6577,5001,3878,2844,2172,1583,1126,859,628,427,733
