"codine","where_geoname","xy_0_4","xy_5_9","xy_10_14","xy_15_19","xy_20_24","xy_25_29","xy_30_34","xy_35_39","xy_40_44","xy_45_49","xy_50_54","xy_55_59","xy_60_64","xy_65_69","xy_70_74","xy_75_79","xy_80_84","xy_85_89","xy_90_","xx_0_4","xx_5_9","xx_10_14","xx_15_19","xx_20_24","xx_25_29","xx_30_34","xx_35_39","xx_40_44","xx_45_49","xx_50_54","xx_55_59","xx_60_64","xx_65_69","xx_70_74","xx_75_79","xx_80_84","xx_85_89","xx_90_"
"21","Huelva",12606,13303,14737,16581,20377,20619,19758,18236,16640,13647,12840,11294,9072,10317,8250,5797,3129,1311,499,12020,12326,14072,16210,19147,19684,18784,17806,16210,13233,12250,11378,9918,11815,10288,8096,5677,3188,1464
"22","Huesca",4160,4337,4593,5476,7148,7806,7846,8443,7939,7041,6208,5689,4738,6279,6093,5221,2899,1495,678,4112,3984,4264,4990,6510,7016,7168,7627,7290,6327,5715,5548,4778,6477,6661,5946,4133,2619,1248
"23","Jaén",17480,20006,21762,22869,25239,24965,24944,25835,23591,18493,15156,13567,13598,16305,15066,10293,5018,2214,942,16577,18993,20596,22026,23837,23727,24216,25529,22801,17722,15559,15127,15734,18441,17446,13288,8266,4373,2219
"24","León",8239,8927,11012,14323,17142,17549,17395,18436,18690,16346,14263,12828,11656,15678,14193,11143,6027,2955,1337,7645,8298,10677,13666,16380,16808,17109,18399,18095,14987,13934,13454,12937,17908,17122,14578,9532,5890,3193
"25","Lleida",8130,7952,8596,9779,13236,14695,14423,15056,14120,12256,10902,9576,7514,9615,9368,7772,4356,2211,868,7924,7503,8200,9230,12589,13698,13216,13824,13072,11270,10686,9652,8080,10892,10510,9279,6565,3805,1786
"27","Lugo",5090,5818,7589,9630,12036,11646,11809,12388,12862,11818,10643,10282,9261,12368,11214,9020,5530,2920,1415,4901,5682,7254,9406,11502,11895,11887,12329,12124,10619,10029,10585,10436,14016,13289,11823,8593,5269,2670
"28","Madrid",135998,126432,135030,161188,219510,258963,244633,226894,198100,168454,161567,143040,112074,110534,89744,62132,32861,16124,6468,129063,120628,127919,154541,215133,255394,243944,233066,211920,186832,178926,158400,126249,133688,119516,95934,63833,38799,19853
"29","Málaga",35080,35649,39882,45766,53321,55383,53504,52192,46258,38985,36297,33462,27743,27897,22292,15101,7599,3284,1207,33266,34092,37872,43500,51250,54717,54102,53982,47609,40811,37087,34959,30235,31073,27232,21238,12961,6930,3199
"52","Melilla",2604,2688,2451,2747,3058,2796,2772,2761,2707,2046,1436,1211,1090,977,812,541,289,110,38,2437,2370,2291,2474,2897,2808,2796,2752,2499,1860,1385,1317,1194,1321,1108,873,489,270,136
"30","Murcia",35052,34399,37284,41537,55918,57683,54629,50116,42876,34152,30189,25907,23772,24944,21397,15373,7525,3283,1229,33642,32434,35002,39310,50214,52453,50857,47926,42393,33720,31047,27738,26182,28229,26021,20873,12257,6775,3308
"31","Navarra",13716,12477,13030,15368,20808,24369,24562,23524,21422,18875,17582,15928,12034,13339,11757,9129,5244,2428,1037,12985,11911,12122,14154,19629,22526,22578,22005,20385,18052,17287,15602,12390,14368,13927,12355,8743,5403,2778
"32","Ourense",4830,5819,6938,9014,11348,11372,11037,10633,11119,10278,10173,10407,9017,12163,10371,8348,5185,2733,1183,4534,5342,6730,8433,11000,11441,11080,10903,11181,9916,10185,11118,10287,13904,12579,11220,8235,5543,2847
"34","Palencia",2984,3455,4178,5269,6303,6169,6459,6917,7157,6649,5659,4590,3799,4711,4577,3719,1952,974,434,2864,3332,3977,4937,6000,5954,5969,6645,6791,5632,4818,4551,3764,5427,5763,5099,3401,2166,1098
"35","Palmas (Las)",25722,24647,27790,30412,37887,44568,45457,41979,34139,28657,24234,21060,16108,16664,11532,7371,3731,1988,815,24749,23533,26352,29399,36717,42782,43124,40112,32815,27544,23622,20990,16871,18542,14117,9946,6103,3754,1843
"36","Pontevedra",19046,19862,23359,29099,38599,39400,36023,32679,31540,28651,27796,25746,19432,22242,17279,11616,6828,3237,1249,17817,18664,22191,27753,37791,38874,36243,33749,33150,30308,28765,27239,22123,27158,23130,18801,13696,8414,4210
"26","Rioja (La)",6035,5740,6517,7769,10632,11782,11524,11145,10995,9405,8778,7842,6059,7413,6485,5080,2774,1318,534,5725,5618,6265,7269,9908,10876,10633,10608,10452,8897,8129,7522,6332,7961,7490,6780,4438,2693,1279
"37","Salamanca",6557,6819,8145,10248,12315,12808,12786,13091,12681,10736,9653,9336,8310,10097,9195,7414,4203,2312,1242,6085,6593,7657,9508,11825,12661,12837,13058,12251,10293,9964,9918,9161,11340,11099,9727,6698,4369,2617
"38","Santa Cruz de Tenerife",20759,20806,23358,26707,33327,38510,37285,35348,29947,25504,22601,21186,16840,17198,12804,8279,4407,2385,954,19751,19654,22491,26037,32855,36870,36224,35309,29918,25613,22601,21929,18126,19931,15629,11488,7266,4581,2323
"40","Segovia",3086,3344,3670,4192,5101,5708,5734,6187,5779,4716,4150,3816,3326,4326,4118,3414,1850,992,464,3014,3028,3350,3865,4770,5214,5293,5766,5072,4014,3673,3715,3549,4691,4861,4130,2765,1877,1074
"41","Sevilla",48494,49704,54338,62478,76438,78481,74483,70745,60613,51118,46331,43048,33876,34524,27393,18673,9960,4058,1465,45894,47022,50948,59385,73005,76778,73372,70812,61432,52245,47988,45422,37145,41613,36477,28704,18477,10075,4589
"42","Soria",1726,1757,1996,2345,2791,3136,3457,3770,3565,2831,2630,2492,2138,2929,2927,2321,1391,760,481,1627,1704,1993,2227,2662,2987,3099,3231,3024,2439,2217,2226,2287,3107,3138,2900,2025,1480,901
"43","Tarragona",14726,14274,15482,18096,24101,26300,25025,24448,22813,20485,19552,16899,13707,15051,13126,9992,5713,2801,1093,14152,13730,14545,17267,22503,24572,23367,23569,22237,20203,18758,16650,13855,16167,15392,12742,8819,5029,2432
"44","Teruel",2618,2902,3314,3521,4359,4636,4761,5386,5334,4428,3858,3498,3193,4602,4755,3833,2132,1066,528,2501,2810,3167,3396,3802,4119,4427,4806,4482,3719,3398,3354,3297,4839,4888,4269,2937,1890,1033
"45","Toledo",14158,14749,16325,17590,20708,21594,21858,21749,20297,16658,14849,12836,10820,13852,13058,10176,5410,2538,1181,13393,13865,15175,16560,19108,20466,20802,20790,19038,15111,14087,13062,11873,14879,14786,12429,8014,5028,2507
"46","Valencia/València",53004,52630,56929,67319,91602,99612,95207,90175,82236,70498,65354,58268,50861,50634,42913,31012,15818,7275,2802,50566,49073,53349,63950,87262,94668,90910,88836,83485,72410,68676,62174,55577,58580,54948,45315,29102,15966,7289
"47","Valladolid",9630,9961,11472,14666,20470,22229,20556,19401,18513,17113,17074,15106,11460,11891,10006,7567,3949,2065,870,9521,9496,10681,13972,19430,21258,20127,19730,19288,17348,16945,15262,11817,13300,12173,10523,6668,4295,2261
"48","Vizcaya",22345,20661,22906,29987,42020,48083,46477,46475,44498,39021,37111,33267,26365,30092,25679,17103,8312,3773,1382,20857,19571,22103,28353,39995,46079,44781,46550,45428,40045,37884,34977,28800,34598,31321,25097,15985,9616,5040
"49","Zamora",3182,3621,4475,5452,6671,6625,6516,7324,7128,6377,5657,5487,5031,7067,6538,5281,3090,1633,836,3004,3416,4263,5124,6232,6259,6262,6702,6449,5505,5262,5402,5698,7810,7590,6754,4581,3149,1637
"50","Zaragoza",18528,17940,19406,23449,31299,36997,35136,34580,32096,28356,26884,24935,19803,22757,20258,15413,8652,3995,1549,17293,17432,18553,21941,30237,34120,32981,33039,31985,28651,27624,25567,21053,25960,24834,21363,14728,8306,4155
