"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",28756,33724,40270,41262,44368,46215,46410,47667,48082,47793,47833,48748,50398,53371,54656,57151,59296,62620,63282,65697,65657,66385,65914,64269,63451,62953,61729,61525,60873,60656,61980,60743,60509,62271,59097,55827,54654,55648,53238,53216,51372,46656,45287,42656,43756,43236,39920,36751,39764,42444,38766,35869,39975,36936,38378,31726,28242,36721,26527,28109,31286,34206,33518,32569,35189,34415,32670,31831,30127,28678,26121,25457,23999,22426,21082,19634,17782,15569,12646,11230,10110,8591,8074,7259,6320,5370,4760,3958,3031,2479,1866,1339,1124,693,556,387,329,759,78,46,97,28678,32749,38617,39379,41806,44087,43626,44955,45657,45102,45401,46535,47871,51177,52043,54597,56694,59593,59884,62454,62784,63908,63305,62372,61264,61024,59901,59658,59705,60132,61478,59736,60583,62198,58668,55560,54060,55047,53025,52843,51234,46470,45532,43038,43404,42944,39638,36747,40034,43304,39338,36465,40747,38014,39423,33143,29513,38818,29181,30783,33871,38399,36950,35859,38433,38151,36315,36713,34964,33974,31218,31444,29791,28957,27145,27331,23837,23520,19663,18834,17476,15482,14994,14007,12555,11293,9929,9139,6927,5673,4736,3544,2945,2077,1563,1217,784,1120,241,178,332
"02","Aragón",4244,4496,4691,4790,4867,5018,4890,5145,5424,5401,5360,5634,5944,6351,6348,6872,7236,7742,7923,8516,8747,9158,9247,9178,9040,9248,8952,9055,8958,8791,8903,9265,9130,9557,9318,9211,8780,8985,8965,8879,8713,8202,8102,7573,7704,7881,7289,7289,7524,7815,7311,7230,7261,7158,6976,6398,5940,6695,4689,5173,5969,6916,6845,7114,7373,7229,7176,7049,6804,6740,6367,6074,5933,6053,5572,5252,4984,4369,3493,3144,2764,2508,2415,2241,1885,1783,1422,1246,990,901,693,528,430,286,205,158,97,102,28,22,28,4125,4325,4501,4693,4572,4955,4888,4730,5000,5214,5271,5492,5573,5857,5983,6562,6843,7268,7615,7976,8387,8623,8682,8553,8612,8750,8650,8499,8345,8560,8773,8765,8752,8986,8755,8651,8635,8894,8521,8470,8403,8042,7814,7369,7588,7674,7115,6997,7428,7776,7090,7161,7382,7015,6961,6326,5855,6746,4910,5199,6261,7531,7232,7445,7889,7898,7540,7833,7646,7591,7094,7160,6918,6976,6834,6793,6196,5944,5020,4902,4329,4083,3893,3823,3414,3123,2654,2440,1950,1641,1310,1118,907,700,510,370,238,243,103,60,101
"03","Asturias, principado de",2654,2940,3266,3232,3567,3707,3900,3914,4030,4335,4680,5197,5485,5640,6066,6345,6847,7455,7814,8339,8747,9107,8921,8706,8359,8413,8303,7975,7790,7527,7922,7756,7780,7963,7875,8031,8002,8294,8269,8156,8345,8054,7716,7616,7684,7696,7241,7355,7429,7558,6932,7092,6986,6383,6174,5234,5027,5337,4186,4765,5180,6340,6222,6613,6680,6814,6378,6518,5917,6017,5581,5529,5180,4995,4543,4338,3951,3526,2881,2508,2264,2078,1845,1707,1478,1289,1127,890,744,567,462,350,242,220,151,93,68,48,23,27,28,2403,2874,3109,3166,3282,3596,3665,3781,3901,4095,4431,4756,5109,5416,5701,6085,6643,7106,7509,7887,8442,8435,8498,8545,8254,8319,8047,7732,7624,7498,7748,7694,7803,8124,8083,8050,8077,8511,8494,8577,8533,8457,8090,7860,7878,7792,7216,7203,7664,7801,7251,7278,7432,6785,6619,5347,5204,5472,4559,5382,5735,7179,6834,7224,7354,7752,7146,7637,7192,7326,6809,6836,6648,6510,6235,6315,5363,5373,4690,4586,4030,3857,3545,3582,3112,2985,2457,2373,1843,1610,1238,1076,848,633,496,321,225,203,79,50,104
"04","Balears, illes",3463,3775,4010,4090,4162,4531,4581,4559,4528,4524,4461,4565,4799,4934,5061,5261,5413,5658,5790,5947,6047,6389,6522,6621,6799,6883,6866,6732,6613,6736,6878,6953,6888,7133,6659,6266,6242,6552,6194,6059,5892,5771,5588,5527,5521,5716,5204,5081,5169,5608,5064,5001,5050,4784,4621,4117,3701,4259,3191,3287,3531,3896,3639,3684,3773,3597,3407,3375,3177,2993,3027,2945,2670,2602,2431,2238,2230,2069,1651,1622,1427,1336,1206,1141,947,802,702,540,546,383,275,202,149,104,77,59,36,26,11,7,10,3213,3584,3856,3812,4045,4255,4224,4302,4304,4294,4270,4388,4456,4730,4730,4922,5202,5466,5467,5759,5938,6009,6219,6468,6535,6614,6820,6552,6671,6679,6775,6809,6792,7006,6643,6396,6295,6493,6130,6063,6106,5680,5705,5410,5360,5416,4994,4948,5063,5543,4938,4777,4666,4655,4673,4064,3639,4003,3269,3404,3710,4003,4018,3748,4127,3896,3814,3800,3717,3705,3566,3544,3428,3398,3169,3216,2882,2947,2452,2473,2218,2183,2055,1880,1707,1472,1366,1124,987,838,715,543,399,317,226,192,109,82,44,37,47
"05","Canarias",3542,5264,8846,8932,9265,9784,9695,9985,10494,10595,10385,10529,10699,11254,11689,12438,13216,13649,13822,13894,14339,14958,15519,15756,15983,16445,16374,16235,15803,15296,15610,15294,15472,15549,14900,14316,13720,13615,12520,12320,12178,11751,11360,10642,10400,10370,9972,9905,9576,9379,8949,8638,9287,8664,8248,8228,7148,7885,5690,6391,6680,7482,7377,7277,7251,7090,6303,6026,5567,5265,4785,4570,4120,3957,3792,3337,3102,2510,2114,2115,2045,1912,1698,1691,1351,1178,1051,863,704,562,433,341,275,175,133,91,73,69,28,14,21,4384,6164,8362,8354,8922,9195,9058,9620,9998,10289,10131,10236,10355,10908,11404,12099,12720,13211,13531,13726,13618,14138,14658,15098,15579,15764,15605,15711,15456,15083,15293,15119,15482,15403,14390,14246,13752,13445,12346,12044,11702,11411,11186,10681,10321,10047,9816,9490,9378,9065,8765,8891,9234,8478,8182,8291,7111,8063,6137,6584,7159,8291,7941,7955,7852,7934,7192,6916,6454,6186,5667,5407,4932,5160,4691,4532,3962,3797,3149,3131,3091,2931,2836,2807,2338,2080,1835,1638,1275,1155,958,816,596,443,311,237,195,159,47,53,81
"06","Cantabria",1582,1755,1907,1925,2065,2280,2255,2368,2379,2496,2577,2791,2902,3071,3287,3483,3833,4050,4148,4375,4479,4523,4424,4325,4237,4081,4077,4231,4028,4137,4062,4115,4075,4013,4077,4027,4047,4075,4201,4283,4204,4041,3864,3669,3641,3796,3541,3626,3473,3687,3366,3247,2985,2824,2853,2519,2305,2546,1790,2217,2430,2830,2763,2819,2829,2912,2780,2788,2579,2635,2435,2427,2226,2238,1993,1871,1704,1466,1227,1191,1088,972,880,775,687,612,473,433,367,266,190,154,134,70,72,43,33,92,7,10,11,1481,1644,1756,1774,1972,2049,2108,2225,2236,2423,2446,2595,2796,2928,3146,3324,3559,3833,3953,4225,4203,4427,4286,4062,4063,4127,3897,4045,3886,3823,3999,4152,4093,3970,4156,4041,4029,4236,4374,4180,4254,3926,3789,3755,3772,3648,3460,3477,3559,3646,3291,3128,3110,2973,2815,2556,2418,2610,1997,2240,2610,2991,2887,3056,3191,3285,3043,3215,3111,3148,2851,2871,2897,2722,2671,2541,2296,2256,2018,2004,1827,1762,1673,1643,1460,1316,1119,1014,792,710,532,494,345,305,226,157,114,139,42,23,51
"07","Castilla y león",6481,7682,8994,9385,9793,10354,10644,10754,11225,11692,11847,12600,13418,14084,14471,15420,16235,17223,17685,18848,18908,19613,19302,19272,18959,19112,19133,18875,19104,18841,19008,18860,19169,19378,19535,18897,18909,19317,18998,18543,18302,17805,17207,16329,16368,16295,15115,15374,15248,16433,14364,13888,14794,14281,14403,12729,12081,13512,10019,10650,12242,15141,14406,14738,14968,15441,14852,15071,13906,14336,13253,13572,12418,12147,11938,11295,10591,8779,7094,6294,5915,5569,5158,4637,4325,3842,3460,3043,2531,2148,1618,1384,1046,702,552,425,300,370,76,68,98,6070,7401,8593,8623,9318,9689,9856,10410,10861,10764,11480,11864,12478,13320,13707,14644,15235,16068,16949,17837,17962,18820,18502,18580,18249,18201,18060,18011,18198,18106,18456,18355,18655,19303,18261,18255,18007,18377,17952,17512,17410,16486,15613,14865,14752,14462,13699,14247,14601,15016,13606,13424,14624,13803,14007,12721,12123,13931,10452,11092,12943,16478,15538,15824,16093,16732,16029,16797,15759,16287,15430,15880,14857,14761,14597,14258,12789,12014,10140,10021,9266,8938,8761,8226,7856,7079,6215,5526,4699,3851,3102,2576,2146,1547,1237,934,632,662,249,178,258
"08","Castilla - la mancha",6764,7628,8930,9100,9517,10009,9982,10322,10392,10363,10277,10483,10397,11225,11317,11895,12316,12645,12590,13533,13242,13533,13550,13251,13273,13264,12896,13333,13388,13718,13648,13704,13858,14471,13910,13498,13365,13828,13193,12846,12112,11001,10339,9868,9977,10022,9044,9284,9349,9817,8849,7938,8677,8534,8638,7369,6395,10057,4876,7002,8643,9085,9020,9068,9995,9933,9713,10130,9580,9530,9192,8998,7999,7848,7853,7497,6875,5494,4389,4119,3739,3407,3227,2833,2593,2398,1986,1622,1504,1147,939,628,542,385,261,210,145,101,42,23,55,6531,7113,8399,8635,8936,9658,9494,9595,10020,9801,9871,9922,10135,10483,10630,11115,11422,11773,11936,12431,12153,13046,12778,12690,12518,12777,12350,12809,13073,13093,13019,13095,13294,13711,13270,12808,12562,12862,12317,11838,11419,10275,9727,9329,9314,9449,8439,8783,9059,9641,8585,7998,8543,8634,8810,7719,6711,10855,5662,7726,9295,10159,9741,9829,10614,10397,10206,11047,10587,10360,9882,9773,9203,9303,8891,8918,8102,7612,6075,6191,5737,5531,5149,4820,4425,4199,3638,3141,2504,2124,1670,1336,1099,735,546,466,297,234,110,85,125
"09","Cataluña",23163,26761,27373,27689,27789,28763,28494,28884,29150,29560,29300,29954,31668,33744,35186,37922,40640,43027,46224,49522,50775,52609,54170,53865,52260,52089,51553,50515,49831,49664,51095,50891,50110,51044,47786,47083,45880,46082,45561,45587,44651,42463,41948,40905,41266,41650,39123,38276,40604,43079,39815,37482,40009,37452,36784,31476,29735,38007,21463,26629,32371,33811,32330,32000,32802,31828,30692,30471,28398,27673,26067,25936,24408,23336,21741,20417,19185,15723,13010,12207,10663,10016,9151,8317,7489,6404,5346,4717,3691,3028,2288,1699,1308,965,695,484,318,255,121,73,122,21771,24915,25824,26484,26574,27555,27002,27204,27412,28160,27457,28644,30087,32090,33770,36082,38203,41252,43510,47023,48988,50477,51638,51407,50743,50366,49195,49109,48239,48206,49596,48863,48846,50021,47656,46685,46355,46846,46707,46452,45640,43111,42681,41726,41952,42181,40027,39078,41488,44520,40493,38326,40655,38639,37504,32150,30314,38212,22089,27415,33362,37027,35168,34712,36249,36031,35185,35812,33438,33298,31888,32463,31045,30248,28720,28423,26063,25113,21274,20869,18803,17721,16712,16088,14305,13400,11355,10325,8617,6980,6034,4673,3687,2761,2085,1602,1018,804,392,208,406
"10","Comunitat valenciana",16139,17623,19410,19732,20924,21735,21489,22090,22145,22802,22232,22827,23656,25828,25406,27763,30095,30734,32051,34126,34829,35162,34834,34244,33840,33444,33449,33199,32673,32591,33266,33089,32593,33215,32196,30656,30233,30486,30403,29575,29010,26407,26299,25052,25092,26146,24016,23795,24116,25941,23479,22648,23244,22271,22408,19616,18583,24988,14445,18402,20197,20170,20193,19951,20787,19976,19337,20050,18335,17841,16356,17119,15576,14646,13837,13419,12185,10140,8230,7358,6481,6096,5670,5080,4503,3951,3178,2690,2082,1818,1324,981,705,490,389,259,231,175,90,33,92,15265,16573,18350,18857,19639,20661,20555,21237,21335,21531,20575,21565,22586,24607,24244,26004,28434,29475,30532,32121,32916,33616,33359,33793,32441,32302,32398,32066,32043,32060,32973,32387,32272,33127,31355,30885,30310,31063,30500,29555,29137,26887,26864,25487,25592,26195,24704,24267,25186,26210,24032,23118,24223,23409,22909,20581,18937,26312,15552,19705,21603,21721,21680,22049,23094,21880,21750,22938,21154,21362,19889,20587,19722,18714,17614,18112,16007,15201,12877,12284,11157,10303,9776,8979,7969,7504,6052,5742,4547,3743,2946,2352,1894,1425,979,719,476,453,190,120,238
