"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",41699,46123,45919,45402,44018,44173,44622,43583,42455,43208,43172,44763,45500,48160,49887,50016,50900,51061,51322,52129,53418,55226,57553,59789,62666,64616,68729,69617,72152,72506,72910,72486,71139,70090,69955,68849,68817,68248,68074,68972,67312,66686,68183,64287,60528,59063,59762,57149,56557,54336,49344,47776,44739,45598,44823,41329,37914,40758,43374,39705,36508,40107,37165,38244,31606,27940,35643,25842,26875,29311,31156,29861,28303,29577,28075,25940,24199,22015,20156,17502,16142,14357,12674,11156,9552,8125,6563,4766,3807,2965,2320,2000,1548,1168,889,688,475,293,186,150,247,38629,43605,43176,43226,41560,41778,41131,40552,40364,41397,41118,42296,43002,45237,47325,46625,47746,48072,48114,49236,50814,52323,54962,56594,59628,61244,64526,65122,67226,68114,68756,68142,67674,66453,66673,65362,65617,65587,66211,67422,65226,65740,67095,63260,59788,57979,58492,56537,55982,53985,48988,47918,45300,45621,44840,41675,38540,42037,45209,41362,38339,42180,39572,40803,34269,30451,39559,29612,30949,33806,37317,35787,34290,36058,35105,32750,32392,30078,28505,25516,24645,22560,20941,18788,17501,14535,13117,9853,8715,7211,5820,4919,4156,3154,2494,1832,1421,949,661,505,890
"02","Aragón",5822,6057,5947,5966,5678,5809,5816,5671,5602,5601,5501,5535,5645,5729,5793,5702,5926,6226,6367,6466,6852,7376,7799,8003,8696,9189,10045,10391,11060,11343,11648,11723,11660,11208,11510,11044,11215,10856,10807,10666,10700,10488,11007,10486,10317,9857,9962,9770,9631,9343,8869,8588,7939,8008,8042,7388,7359,7515,7743,7177,7043,7099,6920,6581,6076,5571,6257,4350,4740,5426,6220,6025,6133,6296,6083,5891,5573,5324,5007,4682,4193,3909,3674,3297,2867,2574,2067,1457,1205,964,780,680,531,386,318,205,147,93,85,47,81,5329,5594,5735,5671,5377,5548,5330,5254,5081,5325,5323,5277,5428,5372,5744,5619,5421,5720,6112,6361,6705,6864,7169,7425,8144,8565,9120,9467,9877,10216,10193,10310,10090,9954,10163,9835,9843,9682,9874,9983,9719,9747,9970,9631,9471,9440,9624,9230,9032,8991,8475,8278,7769,7822,7935,7347,7204,7594,7905,7220,7217,7426,7015,6950,6270,5838,6669,4817,5107,6076,7225,6959,7076,7386,7415,6825,7070,6700,6578,6082,5958,5455,5404,5117,4786,4130,3768,2869,2602,2081,1767,1520,1301,1012,819,588,443,272,192,139,231
"03","Asturias, principado de",3550,3812,3791,3690,3520,3716,3687,3650,3454,3616,3510,3623,3582,3864,4035,4178,4178,4314,4649,5091,5560,5803,5966,6410,6635,7085,7627,8022,8454,8700,9001,8836,8673,8297,8457,8399,8057,8071,7922,8245,7992,8103,8368,8199,8298,8287,8483,8444,8286,8546,8120,7799,7640,7647,7610,7116,7167,7196,7407,6637,6752,6674,6085,5824,4912,4656,4932,3827,4318,4546,5608,5412,5626,5557,5565,4958,5064,4351,4289,3829,3641,3297,2940,2468,2291,1927,1558,1184,910,749,623,480,405,282,236,152,106,76,38,35,34,3307,3633,3492,3625,3437,3397,3417,3306,3308,3278,3399,3423,3503,3576,3915,3965,4041,4179,4350,4839,5166,5440,5839,6124,6584,7109,7482,7877,8072,8473,8483,8511,8477,8231,8386,8181,7981,7880,7838,8128,8079,8190,8521,8406,8389,8365,8786,8795,8790,8779,8641,8226,7916,7998,7883,7325,7239,7685,7838,7286,7313,7346,6762,6507,5305,5100,5404,4514,5207,5567,6873,6580,6899,6930,7202,6602,6976,6411,6351,5814,5708,5369,5080,4613,4447,3643,3385,2721,2428,1921,1750,1369,1222,921,789,490,428,267,227,114,226
"04","Balears, illes",5315,5912,5754,5706,5632,5336,5422,5100,5130,5079,4948,4990,5009,5000,5267,5414,5361,5332,5482,5543,5897,6263,6650,7080,7842,8374,9163,9509,9896,10343,10696,10679,10689,10515,10450,10124,9923,9521,9372,9362,9054,8988,9066,8498,7943,7756,8028,7504,7297,7022,6694,6380,6370,6280,6413,5907,5635,5685,6107,5576,5399,5322,5133,4922,4431,3932,4430,3378,3325,3568,3673,3376,3382,3266,3078,2824,2725,2434,2223,2163,1978,1703,1572,1462,1204,1155,899,672,588,470,425,321,258,183,140,112,51,58,28,19,28,4782,5222,5320,5357,5172,5165,5093,4830,4800,4801,4713,4751,4724,4849,5116,4972,5117,5102,5140,5439,5685,6077,6607,6886,7631,8280,8822,9189,9439,9588,9718,9699,9675,9427,9416,9420,8842,8809,8584,8551,8427,8325,8441,8040,7637,7408,7628,7142,7114,6995,6490,6492,6278,6058,6148,5624,5623,5665,6109,5491,5319,5151,5142,5105,4444,4029,4342,3552,3656,3836,3997,3992,3688,4004,3690,3574,3496,3333,3198,3065,2964,2741,2641,2343,2279,1897,1849,1454,1289,1067,931,772,562,483,348,272,198,145,99,65,100
"05","Canarias",8301,9971,10085,10367,10448,10753,10875,10633,10252,9648,9885,10459,10596,11007,11464,11328,11640,12107,12292,12242,12587,12821,13572,14486,15653,16724,17646,18266,18734,19102,19751,19968,20381,20466,20863,20579,20394,19737,19295,19271,18890,18815,18980,17947,17174,16247,15930,14786,14327,13992,13434,12975,12028,11821,11740,11189,11154,10567,10404,9908,9577,9974,9545,8988,8928,7851,8309,6228,6675,6793,7311,7081,6759,6431,6086,5303,4842,4316,3948,3421,3152,2746,2401,2188,1838,1601,1176,921,833,723,554,486,441,289,235,177,115,96,72,38,88,7774,9388,9717,9764,9704,10177,10141,10231,9514,10280,10313,10073,10025,10467,10766,10590,11112,11392,11860,11986,12285,12809,13608,14531,15694,16612,17476,17938,18232,17947,18526,18855,19077,19472,19214,19006,19066,18600,17921,18070,17876,17999,17773,16718,16438,15752,15311,14127,13747,13233,12844,12441,12184,11743,11341,11035,10730,10473,10193,9977,9934,10177,9512,9128,9130,7981,8805,6768,7105,7479,8431,7938,7843,7526,7387,6703,6214,5655,5416,4779,4329,3939,3834,3377,3090,2540,2345,1783,1610,1501,1226,1102,961,718,537,437,336,220,155,124,235
"06","Cantabria",2453,2777,2659,2647,2525,2337,2409,2288,2264,2312,2256,2226,2253,2349,2586,2527,2646,2604,2787,2880,3132,3264,3421,3661,3893,4267,4477,4595,4891,5021,5124,5073,4960,4844,4799,4704,4834,4716,4735,4701,4658,4594,4552,4557,4430,4485,4461,4529,4619,4510,4241,4074,3818,3806,3878,3589,3674,3533,3706,3358,3216,2940,2827,2803,2439,2225,2468,1697,2081,2252,2530,2492,2512,2436,2460,2261,2230,1990,2013,1763,1663,1437,1407,1166,1001,864,656,507,470,348,295,242,172,132,104,82,49,35,20,13,16,2192,2522,2562,2439,2367,2281,2375,2193,2078,2063,2083,2102,2092,2273,2307,2352,2467,2473,2691,2762,2884,3176,3310,3544,3735,3970,4310,4545,4741,4807,4968,4839,4652,4720,4771,4528,4658,4484,4431,4531,4588,4560,4385,4540,4383,4384,4536,4674,4431,4530,4116,4014,3945,3950,3803,3643,3597,3679,3758,3412,3245,3228,3058,2883,2627,2442,2680,2032,2292,2616,2979,2835,2980,3081,3172,2852,2979,2819,2795,2509,2520,2376,2211,2119,1818,1597,1455,1170,1126,953,845,677,652,471,359,259,205,134,106,60,118
"07","Castilla y león",9191,9769,9798,9678,9843,9590,10002,9644,9682,9977,9826,10064,10394,10825,11343,11538,11748,12117,12570,12896,13829,14690,15206,15559,16458,17259,18205,18519,19627,19561,20116,19629,19721,19459,19340,19656,19402,19868,19686,19972,19795,20274,20413,20491,19906,19961,20196,19896,19248,19060,18437,17555,16726,16567,16372,15195,15331,15157,16228,14258,13578,14525,13989,14073,12329,11769,13088,9533,10131,11360,13902,13021,13058,13103,13210,12459,12188,11058,10951,9879,9583,8448,7887,7387,6556,5724,4318,3273,2608,2282,1910,1597,1200,1051,779,612,450,313,202,138,237,8518,9096,9286,9596,9131,9209,9264,9285,9032,9539,9465,9675,9680,10316,10674,10636,11187,11637,11691,12541,13045,13702,14468,14859,15536,16165,16903,17414,18184,18237,18916,18432,18522,18131,18254,18238,18443,18752,18722,19171,19037,19406,20148,18990,19128,18666,19152,18571,18052,18090,17009,16087,15206,15233,14827,14055,14523,14915,15250,13787,13640,14822,14065,14229,12822,12254,13990,10441,11030,12814,16123,15010,15268,15346,15736,15035,15380,14199,14479,13349,13351,12141,11801,11296,10448,9006,7908,6184,5631,4739,4219,3744,3126,2719,2083,1545,1163,852,550,392,721
"08","Castilla - la mancha",9128,10170,10280,10302,9987,9890,10283,10186,9919,10016,10150,10486,10663,10957,11430,11535,11656,11769,11976,12305,12725,12822,13745,14074,14877,15668,16263,16587,17523,17450,17598,17542,17283,17113,16767,16544,16820,16770,16951,16896,16377,16364,16925,16065,15316,15267,15449,14820,14221,13479,12100,11358,10824,10758,10761,9712,9769,9821,10241,9208,8275,8864,8830,8921,7466,6582,10216,4981,6989,8436,8620,8533,8458,8826,8685,8216,8288,7665,7307,6630,6348,5301,4931,4704,4171,3531,2564,1850,1574,1279,1114,887,751,572,417,293,192,176,117,68,99,8243,9496,9381,9744,9309,9536,9493,9669,9619,9638,9518,9897,10028,10313,11073,10815,10792,11295,11161,11606,11922,12140,12546,12924,13550,13976,14552,14917,15449,15216,16128,15634,15558,15334,15430,14984,15409,15590,15670,15367,15077,15189,15517,14899,14267,14050,14207,13618,12930,12450,11176,10586,10129,10040,10197,9123,9449,9653,10266,9245,8572,9175,9258,9356,8155,7097,11284,5935,7936,9478,10149,9749,9624,10246,9874,9515,10017,9439,9002,8310,8094,7373,6973,6426,6207,5353,4521,3385,3215,2645,2259,1905,1512,1229,1013,740,530,393,240,186,276
"09","Cataluña",40141,42093,40475,39531,37486,36460,36397,34859,33849,33813,32961,32366,32439,32753,33528,33333,33713,34306,35342,36479,37690,40686,43124,46188,51054,55500,59926,63836,68789,71019,72740,73538,72941,70457,69538,67753,66588,64408,63259,62772,61462,59835,60096,55838,54609,52237,52407,50983,50582,49122,46119,45007,43336,43343,43138,40100,39128,40954,42961,39522,36847,38814,36014,35118,29838,27965,35288,19720,24104,28820,29676,28051,27224,27439,26090,24442,23679,21566,20233,18385,17376,15714,14335,12630,10927,9563,7279,5511,4637,3715,3083,2455,1941,1474,1074,734,589,332,231,147,207,37217,39070,38421,37114,35498,34692,34681,33290,31393,31707,30539,30590,30784,31015,31753,31160,31452,31800,33433,34270,36618,39190,41797,44663,48636,51962,56396,58925,62867,64677,65763,65836,65151,63310,62483,60535,59763,58192,57367,57900,56581,56092,56647,53688,52329,51440,51524,51089,50446,49311,46403,45502,44400,44093,44230,41723,40658,42621,45311,41230,38938,40927,38724,37526,31997,30134,37663,21815,26965,32444,35504,33509,32793,33773,33311,32068,32224,29500,28797,27136,26895,24826,23567,21397,20320,17579,15826,12459,11288,9226,7869,6550,5633,4395,3497,2500,1883,1317,845,567,917
"10","Comunitat valenciana",23542,25972,25773,25444,24820,24581,24311,23445,23245,23296,23408,23296,23367,24529,25108,24840,25230,25415,26290,27026,27960,29467,31227,32469,35595,38277,41014,43270,45894,46984,47354,47014,46335,45127,44865,44055,43640,42769,42330,42205,40848,40276,40500,38783,36863,36023,36028,35600,34318,33147,30381,29962,28215,28192,29034,26816,26261,26794,28592,26474,25473,25715,25049,24798,21891,20980,26819,16537,19981,21175,20453,19894,19142,19125,17717,16566,16281,14439,13378,11758,11738,10053,8912,7908,6950,5763,4446,3360,2644,2108,1789,1406,1178,856,650,416,332,200,143,102,141,21983,24724,24102,24319,23189,23143,22987,22666,21698,21922,21913,22024,22168,22741,23861,23740,23907,24186,24846,25425,26905,28380,29808,31292,33564,35830,38690,39966,41820,42411,42946,42098,42466,40726,40204,39982,39629,39467,39473,39733,38287,37888,38850,36598,35944,35154,35714,34874,33934,33230,30801,30545,29018,29099,29540,27909,27627,28749,29909,28052,26976,27587,27142,26274,23655,21860,29101,17850,21839,23114,22619,22297,22122,22717,21083,20514,21047,19037,18683,16944,16885,15660,14210,12781,12372,10329,9022,7031,6203,5049,4120,3538,2818,2125,1728,1164,985,583,397,269,481
"11","Extremadura",4533,5049,5060,5210,5138,5306,5422,5370,5402,5453,5359,5873,6062,6279,6602,6628,6949,6976,7182,7291,7331,7247,7449,7677,7850,7859,8024,8078,8129,8029,8331,8256,8197,8452,8358,8353,8383,8448,8784,8614,8764,8860,9296,9120,8848,8544,8912,8327,8296,7619,7149,6616,6271,6498,6409,5952,5441,5685,5947,5429,4959,5473,5571,5573,4548,3751,5395,3750,3923,4532,5558,5411,5008,5281,5114,4745,4345,4049,3913,3462,3256,2814,2472,2252,1989,1797,1264,996,776,644,470,371,313,235,204,146,99,88,59,45,65,4341,4819,4807,4875,4859,4959,5113,5138,5070,5156,5521,5523,5644,6023,6373,6418,6457,6608,6751,6752,6774,6754,6988,7068,7359,7328,7770,7674,7854,7672,7861,7737,7830,7750,7978,8015,7983,8183,8313,8566,8463,8569,8868,8498,8261,8054,8006,7715,7445,6961,6381,6150,5727,5794,5777,5490,5140,5494,5967,5380,4998,5556,5776,5926,4812,4076,5907,4358,4472,5070,6512,6300,6048,6286,6396,5878,5626,5341,5248,4766,4648,4301,3987,3620,3296,2897,2471,2017,1763,1487,1119,999,850,685,582,435,333,204,139,118,191
