"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",40691,44777,44140,43422,43526,43760,42902,41780,42686,42697,44347,44990,47776,49541,49653,50512,50807,50701,51515,52761,54638,57080,59479,62324,64246,68463,69465,71962,72323,72688,72388,70870,69872,69733,68396,68597,67918,67875,68641,67132,66460,67902,64090,60445,58889,59702,57078,56514,54339,49315,47762,44798,45638,44830,41294,37915,40713,43478,39669,36462,40109,37229,38349,31706,28025,36014,26044,27208,29767,31707,30551,29091,30536,29075,26916,25279,23151,21313,18620,17368,15581,13853,12359,10744,9186,7534,5607,4527,3593,2908,2488,1957,1556,1167,937,686,420,298,211,129,399,38151,41971,41841,40856,41194,40372,39858,39809,40956,40696,42011,42663,44870,47036,46344,47463,47946,47535,48726,50151,51636,54256,55910,58783,60530,63883,64426,66690,67435,68341,67653,67094,65887,66172,64893,65058,65144,65672,67013,64910,65361,66821,63037,59554,57794,58380,56361,55819,53807,48880,47777,45109,45495,44731,41461,38450,41863,45072,41140,38085,42051,39426,40725,34229,30348,39644,29685,31123,34004,37589,36157,34714,36578,35723,33427,33187,30956,29452,26450,25812,23711,22183,20035,19000,15860,14519,11138,9960,8399,6886,5985,5137,3976,3152,2403,1971,1332,963,724,496,1165
"02","Aragón",5556,5863,5764,5549,5670,5629,5546,5482,5465,5362,5481,5511,5579,5702,5590,5842,6118,6153,6193,6492,7076,7518,7622,8275,8781,9651,9998,10699,11051,11322,11482,11322,10967,11335,10787,10978,10672,10590,10467,10528,10354,10829,10368,10216,9705,9845,9720,9556,9263,8809,8549,7870,7987,8038,7363,7371,7514,7748,7217,7062,7107,6974,6633,6132,5647,6336,4400,4804,5484,6348,6165,6303,6456,6235,6090,5794,5504,5265,4912,4461,4182,3994,3577,3149,2822,2318,1681,1399,1150,924,845,651,487,445,283,203,128,118,64,57,80,5052,5568,5430,5229,5432,5203,5156,4955,5223,5214,5199,5336,5268,5638,5516,5311,5593,5859,6034,6373,6535,6878,7086,7838,8216,8804,9204,9655,9942,9960,10081,9854,9800,9935,9655,9640,9493,9689,9809,9614,9652,9857,9509,9375,9329,9492,9124,8953,8897,8431,8201,7726,7786,7869,7315,7187,7576,7906,7200,7218,7397,7026,6969,6270,5869,6677,4824,5131,6113,7297,6999,7133,7467,7490,6957,7220,6863,6767,6253,6152,5691,5646,5392,5120,4448,4114,3157,2917,2363,2056,1791,1547,1223,1025,745,579,379,281,214,128,242
"03","Asturias, principado de",3529,3740,3585,3470,3679,3629,3571,3414,3545,3468,3591,3566,3825,3998,4145,4156,4282,4609,5049,5511,5755,5926,6386,6596,7099,7653,8025,8445,8733,9044,8859,8672,8288,8460,8392,8043,8023,7880,8223,7998,8099,8353,8202,8270,8269,8470,8431,8332,8545,8191,7839,7649,7677,7631,7150,7226,7268,7449,6697,6806,6762,6135,5889,4983,4713,5007,3909,4387,4658,5740,5553,5768,5744,5742,5152,5294,4560,4535,4077,3877,3540,3205,2717,2532,2171,1781,1363,1069,891,745,610,496,366,307,206,149,119,57,56,22,44,3370,3456,3502,3375,3354,3379,3250,3274,3224,3370,3400,3475,3531,3878,3917,3989,4165,4302,4756,5103,5379,5752,6097,6524,7112,7519,7864,8104,8571,8457,8503,8494,8224,8376,8184,7965,7871,7796,8078,8053,8157,8503,8414,8370,8365,8766,8771,8782,8778,8659,8236,7944,8006,7888,7318,7245,7696,7848,7283,7331,7369,6780,6515,5325,5130,5424,4539,5244,5612,6956,6627,6972,7005,7315,6715,7103,6539,6544,6011,5905,5576,5296,4885,4746,3887,3663,2996,2729,2186,1999,1604,1460,1119,984,639,594,356,330,168,114,235
"04","Balears, illes",5125,5596,5511,5495,5223,5294,5001,5013,4984,4875,4896,4943,4923,5209,5314,5264,5203,5318,5295,5525,5825,6174,6615,7266,7726,8574,8945,9452,9854,10277,10302,10388,10250,10185,9936,9698,9276,9187,9114,8825,8775,8946,8333,7764,7625,7929,7383,7173,6937,6626,6324,6300,6167,6322,5837,5565,5645,6085,5528,5368,5332,5080,4916,4391,3942,4431,3399,3341,3591,3707,3424,3448,3363,3160,2896,2834,2526,2307,2285,2111,1820,1696,1585,1346,1282,1031,788,702,571,524,397,320,232,184,149,69,80,37,31,18,45,4462,5190,5157,5073,5051,5016,4698,4712,4706,4631,4662,4616,4772,5054,4894,5063,5021,4964,5135,5322,5627,6093,6346,7049,7680,8278,8664,9044,9261,9402,9414,9515,9248,9250,9265,8707,8603,8371,8397,8293,8174,8324,7899,7507,7284,7485,7039,7024,6921,6385,6382,6171,5971,6048,5562,5572,5567,6043,5446,5247,5096,5091,5076,4389,3972,4314,3541,3637,3860,3995,4009,3719,4040,3722,3626,3564,3412,3289,3158,3066,2866,2754,2471,2432,2041,2022,1597,1457,1230,1082,902,695,605,448,360,259,185,142,101,64,117
"05","Canarias",7846,9507,9907,10194,10556,10668,10434,10164,9519,9842,10398,10483,10867,11354,11243,11541,12039,12075,12066,12308,12490,13181,14020,15199,16285,17205,17962,18378,18991,19593,19917,20314,20410,20855,20531,20374,19671,19192,19186,18747,18739,18897,17937,17083,16148,15857,14717,14223,13975,13381,12916,12036,11808,11700,11190,11130,10548,10358,9888,9517,9986,9510,8932,8910,7830,8363,6205,6725,6889,7400,7222,6933,6610,6303,5506,5054,4527,4195,3664,3385,2956,2623,2396,2025,1818,1362,1066,989,901,698,612,570,402,328,252,170,140,111,64,51,151,7306,9064,9331,9450,10012,9985,10000,9420,10134,10276,10019,9949,10400,10662,10504,11035,11303,11617,11672,11924,12247,13013,14008,15151,16097,17095,17624,17915,17724,18322,18753,19000,19346,19111,18883,18912,18480,17841,17932,17747,17879,17679,16651,16321,15650,15200,13952,13663,13100,12750,12299,12049,11657,11275,10932,10596,10382,10072,9880,9866,10106,9392,9097,9071,7923,8786,6700,7106,7499,8481,7993,7948,7636,7532,6823,6385,5834,5579,4979,4540,4136,4060,3575,3359,2794,2577,1975,1856,1729,1452,1317,1194,907,693,562,475,313,254,192,157,335
"06","Cantabria",2589,2642,2600,2484,2284,2372,2259,2231,2270,2212,2184,2220,2321,2548,2492,2607,2593,2730,2857,3088,3212,3384,3593,3835,4213,4433,4539,4817,4910,5053,5024,4900,4772,4725,4651,4796,4655,4680,4674,4628,4543,4509,4500,4412,4443,4442,4528,4602,4497,4227,4091,3829,3813,3891,3606,3686,3547,3721,3388,3238,2946,2819,2823,2455,2230,2494,1702,2104,2296,2586,2550,2561,2501,2519,2371,2297,2070,2122,1849,1782,1547,1526,1260,1093,966,741,582,554,405,368,307,227,177,132,106,68,50,32,19,8,34,2322,2494,2425,2330,2259,2325,2162,2012,2041,2053,2063,2045,2234,2274,2323,2441,2440,2647,2721,2810,3095,3243,3454,3698,3916,4227,4452,4663,4735,4909,4809,4581,4659,4718,4490,4594,4432,4396,4507,4573,4545,4362,4502,4356,4363,4524,4651,4416,4483,4117,4006,3935,3948,3789,3635,3581,3663,3755,3417,3243,3219,3057,2882,2634,2437,2677,2039,2305,2635,2991,2853,3005,3106,3193,2896,3030,2863,2849,2563,2580,2464,2294,2208,1950,1704,1570,1272,1251,1059,970,794,770,590,455,323,275,163,139,98,72,124
"07","Castilla y león",9079,9502,9346,9610,9388,9755,9389,9527,9834,9719,9903,10285,10689,11238,11426,11595,11995,12375,12676,13545,14412,14945,15406,16305,17127,18105,18471,19563,19571,20056,19553,19670,19348,19321,19501,19398,19754,19566,19859,19690,20123,20286,20369,19812,19853,20160,19812,19193,19008,18407,17537,16697,16587,16379,15190,15378,15213,16267,14274,13634,14544,14075,14156,12396,11809,13132,9634,10233,11572,14127,13291,13374,13423,13596,12849,12611,11470,11432,10374,10099,9013,8458,8007,7175,6311,4851,3689,3037,2660,2296,1925,1515,1366,1028,841,620,460,312,217,149,355,8364,8940,9322,8955,9057,9060,9095,8895,9401,9319,9582,9523,10232,10538,10534,11082,11527,11511,12277,12755,13479,14230,14639,15470,16115,16874,17511,18233,18285,18926,18528,18530,18128,18234,18104,18369,18655,18660,19106,18981,19342,20058,18925,19085,18647,19047,18510,18049,18026,16946,16046,15155,15182,14787,14037,14518,14890,15225,13727,13636,14805,14033,14230,12856,12264,14015,10462,11072,12902,16246,15162,15393,15478,15967,15223,15633,14478,14848,13704,13799,12640,12351,11828,11036,9606,8534,6770,6254,5371,4800,4362,3673,3241,2571,1982,1560,1178,803,581,388,899
"08","Castilla - la mancha",9040,9803,9779,9607,9575,9907,9944,9631,9744,9913,10244,10395,10694,11179,11276,11423,11542,11574,11748,12085,12183,13107,13413,14156,15039,15537,15750,16741,16624,16807,16803,16546,16548,16095,15974,16308,16292,16510,16431,16068,16087,16637,15863,15175,15048,15299,14666,14112,13328,11982,11220,10710,10677,10673,9625,9700,9779,10178,9175,8256,8832,8795,8857,7482,6530,10230,5006,7030,8492,8754,8650,8615,9040,8910,8464,8528,7952,7628,7005,6700,5659,5311,5128,4609,3929,2901,2131,1866,1513,1309,1088,936,747,566,408,271,254,173,116,67,160,8362,8933,9256,8962,9257,9191,9379,9294,9361,9315,9720,9808,10091,10875,10620,10598,11081,10808,11107,11416,11657,11972,12354,12999,13394,14020,14297,14821,14674,15499,15081,15006,14848,14985,14621,15005,15205,15342,15048,14781,14961,15317,14700,14054,13904,14016,13469,12773,12329,11062,10460,9974,9921,10105,9040,9341,9560,10160,9137,8476,9073,9160,9251,8103,7041,11232,5944,7943,9493,10148,9807,9691,10340,9989,9659,10198,9671,9261,8537,8361,7681,7377,6812,6619,5779,4962,3745,3629,3044,2646,2269,1865,1551,1299,979,744,540,347,261,188,353
"09","Cataluña",40203,40563,38996,37131,36169,35996,34540,33472,33416,32650,32025,32131,32426,33124,32918,33357,33696,34305,35426,36349,39122,41227,44212,49240,53711,58119,62481,67716,70236,72099,73344,72919,70384,69661,67804,66703,64427,63333,62838,61608,60030,60258,55984,54850,52380,52633,51039,50785,49351,46341,45251,43581,43580,43432,40415,39429,41291,43361,39846,37199,39306,36430,35629,30280,28386,35889,20106,24618,29400,30353,28753,27959,28247,26984,25330,24607,22508,21220,19431,18467,16805,15441,13751,11991,10616,8152,6297,5368,4370,3719,3026,2470,1919,1426,1017,824,486,351,238,142,281,36940,38290,36627,35192,34330,34306,32852,31105,31428,30231,30156,30455,30651,31546,30882,31175,31329,32387,32809,34970,37416,39870,42628,46630,49915,54439,57283,61592,63769,65009,65307,64693,62969,61958,60275,59481,57817,57183,57689,56374,55896,56485,53633,52212,51310,51421,50969,50385,49253,46377,45503,44429,44110,44318,41819,40785,42783,45516,41416,39093,41113,38963,37701,32258,30328,37941,21990,27157,32787,35893,33875,33190,34304,33828,32635,32871,30139,29587,27948,27781,25767,24604,22590,21452,18826,17095,13644,12554,10382,9023,7629,6778,5364,4375,3222,2473,1758,1136,807,559,993
"10","Comunitat valenciana",24364,25061,24750,24260,24141,23770,22913,22729,22828,23102,22880,22976,24111,24740,24518,24850,25093,25511,26101,26945,28488,30126,31344,34552,37324,40042,42393,45117,46224,46784,46435,45969,44725,44374,43702,43360,42385,41968,42035,40687,40060,40391,38642,36624,35845,35965,35360,34214,32998,30303,29840,28060,28114,28923,26703,26173,26585,28389,26165,25242,25555,24781,24629,21764,20800,26801,16457,20070,21323,20755,20276,19527,19573,18223,17078,17011,15121,14047,12427,12431,10837,9693,8627,7725,6525,5064,3902,3134,2507,2153,1740,1471,1097,862,577,465,291,206,167,98,244,22956,23462,23660,22725,22653,22522,22229,21322,21583,21630,21615,21748,22392,23441,23371,23610,23838,24094,24298,25713,27138,28621,30098,32462,34640,37735,39157,41009,41722,42254,41489,41907,40173,39680,39534,39127,39031,38925,39296,37985,37558,38566,36245,35609,34840,35343,34588,33546,32953,30468,30266,28742,28831,29316,27576,27331,28401,29557,27612,26558,27260,26755,25959,23490,21705,29000,17787,21829,23204,22765,22412,22316,23005,21386,20862,21473,19503,19241,17539,17542,16299,14968,13526,13284,11146,9954,7832,6982,5768,4836,4246,3413,2715,2249,1555,1299,843,575,417,272,638
