"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",36761,39790,39955,39156,39046,40108,40190,42672,43311,46063,47869,48062,49133,49404,49244,50001,50914,52552,54377,56134,58515,60219,63918,64703,67109,67468,68066,67819,66333,65665,65529,64500,64786,64364,64344,65414,64422,63893,65625,61912,58510,57038,58084,55484,55165,53117,48373,46811,44010,45006,44169,40734,37483,40338,43111,39325,36265,40000,37078,38345,31664,28116,36446,26412,27701,30708,33069,32228,30910,32902,31584,29635,28179,26352,24697,21890,20828,19100,17457,16000,14255,12588,10512,8254,6934,5891,4786,4283,3599,2930,2346,1920,1510,993,742,523,368,281,169,104,712,34461,37366,36626,36275,37469,38638,38702,40480,41090,43366,45582,44955,46270,46809,46285,47367,48485,49854,51904,53391,56093,57525,60553,61178,63496,64098,65074,64478,63870,63038,63088,62034,62243,62559,63027,64484,62718,63261,64855,61281,57908,56170,56990,54917,54461,52659,47808,46783,44228,44510,43772,40583,37622,40932,44303,40284,37307,41525,38776,40296,33818,30089,39420,29544,31149,34143,38311,36855,35496,37712,37071,34981,35147,33108,31803,28845,28617,26607,25521,23483,22833,19571,18442,14804,13696,12152,10287,9399,8323,6933,5808,4686,4005,2803,2082,1648,1111,902,547,395,1169
"02","Aragón",5022,5195,5200,5131,5061,5064,5035,5178,5185,5252,5385,5302,5519,5756,5770,5750,6028,6387,6726,6828,7349,7844,8500,8978,9667,9888,10393,10555,10517,10206,10498,10068,10319,10083,9925,9929,10110,9879,10345,9988,9811,9378,9555,9429,9318,9060,8640,8390,7853,7898,8025,7332,7354,7533,7776,7244,7129,7202,7043,6760,6244,5767,6483,4490,4931,5672,6612,6472,6646,6887,6671,6573,6328,6063,5890,5563,5184,4925,4845,4403,4016,3654,3123,2399,2004,1751,1461,1371,1180,932,859,589,449,319,288,208,145,99,57,37,75,4741,5020,4813,4776,4628,4944,4904,4881,5034,5016,5335,5207,5065,5288,5551,5618,5806,5900,6145,6373,6977,7412,8042,8384,8909,9219,9430,9418,9309,9311,9271,9191,9157,8973,9177,9347,9262,9248,9534,9179,9098,9041,9241,8902,8780,8703,8259,8019,7558,7707,7775,7226,7132,7506,7823,7154,7192,7393,7009,6954,6300,5855,6711,4863,5174,6188,7422,7106,7303,7669,7684,7226,7485,7226,7181,6653,6622,6288,6277,6062,5917,5277,4928,3983,3751,3204,2870,2645,2419,2031,1743,1369,1153,807,644,489,322,299,161,104,202
"03","Asturias, principado de",3146,3481,3361,3405,3046,3123,3272,3469,3459,3737,3885,4066,4068,4171,4503,4913,5351,5677,5778,6237,6489,7004,7524,7874,8365,8691,9015,8847,8638,8242,8414,8310,7990,7911,7741,8078,7861,7953,8212,8081,8181,8180,8460,8356,8330,8500,8166,7843,7709,7701,7697,7188,7301,7386,7528,6805,6945,6837,6259,6022,5124,4857,5177,4007,4548,4881,6033,5843,6156,6169,6223,5691,5813,5118,5141,4706,4547,4198,3941,3440,3259,2837,2474,1937,1607,1381,1217,1024,891,696,590,473,348,257,171,142,78,47,46,29,46,3076,3128,3118,3068,2912,2843,3171,3265,3354,3406,3771,3814,3905,4024,4234,4650,4957,5242,5562,5878,6290,6884,7345,7711,8079,8467,8452,8492,8487,8178,8341,8106,7839,7728,7686,7904,7899,8002,8358,8290,8272,8298,8693,8656,8703,8709,8581,8175,7919,7959,7854,7263,7209,7677,7837,7244,7318,7405,6752,6569,5328,5172,5445,4532,5325,5686,7051,6765,7144,7188,7529,6912,7388,6820,6950,6394,6376,6096,5858,5498,5476,4590,4443,3751,3522,2942,2817,2360,2274,1868,1681,1205,1139,791,661,413,330,258,164,111,174
"04","Balears, illes",4874,4772,4922,4627,4791,4748,4641,4718,4698,4740,5090,5164,5135,5065,5096,5084,5159,5410,5519,5789,6139,6610,7304,7855,8276,8754,9352,9588,9683,9748,9825,9562,9280,8884,8814,8812,8675,8628,8721,8112,7574,7478,7764,7248,7085,6790,6542,6303,6218,6124,6300,5782,5616,5614,6110,5486,5403,5381,5104,4930,4378,3951,4508,3385,3408,3670,3897,3616,3671,3633,3436,3156,3120,2869,2671,2680,2504,2217,2105,1969,1726,1667,1475,1115,1048,879,842,654,603,463,373,303,193,192,118,82,59,38,15,18,25,4482,4644,4667,4391,4494,4419,4422,4561,4462,4650,4913,4766,4889,4873,4831,4874,4951,5058,5291,5370,5863,6439,7009,7367,7933,8403,8579,8787,9042,8908,8940,8853,8486,8339,8198,8159,8102,8022,8165,7754,7403,7112,7352,6929,6838,6811,6246,6254,6033,5864,5942,5426,5443,5484,5981,5387,5154,5030,5059,5029,4346,3923,4295,3519,3616,3873,4083,4116,3830,4157,3855,3767,3723,3623,3520,3379,3342,3167,3122,2826,2867,2453,2453,2024,1903,1681,1546,1359,1181,1011,771,704,534,414,302,246,163,108,64,56,58
"05","Canarias",8423,9662,9996,9737,9599,9051,9213,9992,10153,10495,11013,10838,11199,11699,11665,11598,11695,11751,12285,12872,13795,14754,15596,16283,16667,17366,18329,18718,19287,19565,20142,19817,19723,19056,18522,18664,18188,18262,18354,17403,16652,15799,15532,14447,13820,13706,13161,12684,11838,11618,11578,11019,10986,10442,10204,9717,9431,9940,9347,8864,8799,7734,8435,6159,6793,7036,7680,7474,7278,7064,6808,6010,5626,5086,4769,4230,3978,3523,3213,2999,2592,2382,1897,1485,1417,1313,1116,1010,943,680,595,462,338,281,206,143,108,76,51,34,124,7819,9094,9217,9285,8865,9683,9792,9651,9589,9993,10386,10115,10657,10976,11306,11255,11280,11392,11837,12527,13483,14335,15351,15980,16406,16509,17184,17621,18232,18662,18550,18343,18365,17954,17347,17595,17333,17499,17317,16260,15956,15280,14903,13634,13337,12765,12417,12087,11686,11340,11016,10648,10289,10134,9808,9615,9643,9917,9162,8898,8922,7766,8635,6639,7052,7481,8577,8150,8104,7851,7923,7092,6721,6228,6025,5391,5003,4629,4614,4117,3953,3366,3139,2511,2415,2290,2043,1927,1793,1407,1149,963,845,571,489,386,299,214,124,89,236
"06","Cantabria",2286,2125,2240,2109,2125,2130,2046,2057,2119,2205,2430,2374,2534,2518,2662,2750,2971,3082,3223,3434,3625,4010,4247,4298,4562,4670,4746,4700,4570,4524,4413,4415,4534,4420,4502,4466,4449,4348,4284,4320,4269,4309,4315,4480,4486,4396,4194,4008,3806,3791,3891,3635,3672,3544,3742,3405,3270,2993,2820,2823,2472,2275,2544,1773,2149,2378,2703,2671,2700,2672,2704,2539,2515,2289,2350,2101,2040,1865,1818,1581,1427,1253,1037,826,781,657,578,495,390,330,269,200,164,128,93,53,35,38,13,5,26,2126,2097,2202,2007,1921,1914,1921,1972,1922,2131,2162,2249,2378,2369,2554,2624,2745,2947,3089,3257,3456,3714,3998,4190,4449,4439,4672,4519,4335,4383,4448,4251,4387,4237,4157,4354,4386,4381,4241,4388,4258,4277,4393,4580,4368,4422,4065,3943,3864,3901,3766,3567,3553,3624,3702,3364,3201,3187,3027,2856,2607,2427,2652,2054,2262,2670,3003,2888,3026,3171,3259,2947,3132,2998,3027,2715,2717,2676,2489,2432,2228,1987,1869,1591,1614,1367,1299,1103,1116,927,749,582,506,365,306,216,166,101,79,58,110
"07","Castilla y león",8132,8027,8707,8363,8893,9246,9084,9479,9908,10228,10803,11054,11156,11621,12021,12300,13017,13888,14275,14691,15630,16418,17503,17872,19123,19152,19584,19204,19193,18937,18940,19030,18819,19131,18940,19246,19112,19663,19816,19880,19411,19426,19787,19519,18944,18751,18155,17454,16552,16530,16294,15208,15395,15223,16362,14428,13758,14671,14102,14251,12520,12000,13264,9780,10445,11938,14634,13878,14071,14193,14447,13777,13720,12563,12666,11653,11647,10460,10026,9652,8918,8047,6388,5001,4309,3904,3505,3127,2615,2336,1893,1616,1285,998,729,536,400,300,171,116,342,7493,7739,8117,8110,8290,8804,8722,9159,9100,9797,10152,10194,10720,11182,11118,11910,12332,12903,13505,13943,14823,15439,16366,17172,17906,18067,18661,18364,18238,17889,17780,17737,17881,18168,18154,18573,18584,18965,19552,18568,18683,18384,18771,18224,17755,17752,16739,15865,15003,14944,14566,13882,14406,14722,15121,13624,13570,14717,13928,14120,12754,12189,14036,10461,11103,12985,16400,15310,15612,15836,16346,15660,16204,15087,15500,14566,14735,13713,13576,13196,12607,11151,10129,8281,7985,7057,6519,6205,5494,5079,4284,3465,2807,2248,1686,1252,903,687,443,306,659
"08","Castilla - la mancha",7535,8327,8714,8796,8773,8891,9100,9631,9745,10076,10632,10657,10869,10957,10935,10955,11172,11083,11749,11954,12665,13279,13724,13879,14805,14688,14996,15022,14754,14844,14571,14547,14915,14899,15302,15094,15012,15148,15679,15038,14453,14361,14687,14065,13619,12807,11578,10905,10396,10399,10462,9356,9527,9606,10044,9047,8132,8756,8691,8771,7389,6461,10096,4930,7036,8660,8970,8927,8933,9560,9407,9027,9250,8694,8518,7959,7728,6638,6328,6220,5778,5099,3907,2996,2706,2345,2039,1787,1538,1330,1084,856,621,528,383,306,164,138,81,56,109,7068,7987,8131,8341,8474,8504,8555,9100,9229,9528,10268,10041,10103,10494,10299,10477,10525,10689,10778,11046,11537,11941,12519,12782,13378,13118,14009,13646,13678,13468,13835,13330,13816,14174,14284,14117,14018,14227,14580,14093,13533,13365,13519,12949,12338,11980,10691,10130,9663,9639,9827,8739,9070,9306,9873,8854,8286,8806,8928,9007,7920,6885,11090,5800,7846,9434,10264,9846,9842,10592,10251,9942,10656,10115,9753,9176,9073,8383,8247,7820,7640,6813,6182,4794,4773,4160,3775,3448,2965,2568,2279,1788,1448,1082,818,620,442,319,196,141,249
"09","Cataluña",34021,33890,33921,32054,31157,31405,30548,30038,30163,30493,31249,30996,31356,31589,32096,32543,33238,35238,36671,38432,42146,45942,49373,53344,58332,60738,63204,65265,65237,63386,63231,62138,60975,59625,58706,59255,58288,57080,57610,53460,52615,50533,50717,49612,49464,48094,45492,44469,43095,43183,43229,40372,39410,41514,43777,40296,37737,39953,37311,36488,31025,29284,37025,20849,25657,30891,31957,30530,29830,30300,29164,27689,27162,25063,23966,22294,21618,19999,18736,17081,15416,14037,11138,8843,7803,6712,5940,5151,4292,3631,2901,2206,1816,1250,948,624,433,265,214,107,209,31857,32202,32210,30671,28994,29570,28515,28409,28793,28890,29827,29189,29461,29677,30395,30403,31656,33393,34567,36920,40194,42901,46982,49796,53919,56605,58519,59646,59391,58383,57890,56544,56032,54490,54146,54963,53931,53648,54432,51664,50476,49754,50003,49702,49112,48071,45316,44624,43585,43579,43582,41288,40262,42424,45334,41234,38918,41107,38883,37695,32275,30367,38038,22056,27381,33144,36485,34579,33976,35320,34873,33904,34255,31697,31289,29847,30097,28285,27264,25443,24681,22141,20717,17083,16069,13974,12669,11303,10393,8671,7540,6015,4925,3718,2679,2091,1465,1012,674,454,823
"10","Comunitat valenciana",21193,21546,21203,20652,20514,20542,20954,21248,21386,22510,23231,22867,23458,23506,24067,24419,24912,25728,27013,27744,30495,32711,35013,37026,39731,41017,41630,41497,41101,40485,40097,39735,39446,38944,38564,39065,38110,37579,38012,36487,34719,34000,34208,33688,32728,31773,28893,28714,27093,27132,27953,25777,25288,25638,27414,24979,24164,24596,23704,23708,20921,20043,26342,15788,19728,21290,21063,20866,20289,20639,19468,18596,18846,16945,16131,14382,14706,13102,12109,11030,10223,8905,7196,5648,4790,4024,3527,3076,2692,2185,1820,1278,1044,740,566,392,266,197,102,82,366,19776,20169,20053,19871,19396,19452,19650,20071,20276,20935,21903,21851,22339,22452,22725,22678,23606,24483,25424,26625,28817,30740,33542,35164,36876,37917,38595,38100,38631,37036,36883,36827,36447,36384,36329,36999,36127,35731,36646,34551,34010,33195,33923,33116,32123,31466,29111,28984,27481,27555,28112,26316,25992,27037,28050,26080,25053,26081,25284,24732,22316,20803,28214,17222,21342,22910,22833,22666,22801,23598,22172,21742,22604,20706,20669,19026,19329,18214,17019,15728,15738,13679,12553,10146,9477,8234,7151,6483,5621,4607,4129,3061,2622,1835,1400,984,715,535,379,223,611
