"codine","where_geoname","xy_0_1","xy_0_2","xy_0_3","xy_0_4","xy_0_5","xy_0_6","xy_0_7","xy_0_8","xy_0_9","xy_0_10","xy_0_11","xy_0_12","xy_0_13","xy_0_14","xy_0_15","xy_0_16","xy_0_17","xy_0_18","xy_0_19","xy_0_20","xy_0_21","xy_0_22","xy_0_23","xy_0_24","xy_0_25","xy_0_26","xy_0_27","xy_0_28","xy_0_29","xy_0_30","xy_0_31","xy_0_32","xy_0_33","xy_0_34","xy_0_35","xy_0_36","xy_0_37","xy_0_38","xy_0_39","xy_0_40","xy_0_41","xy_0_42","xy_0_43","xy_0_44","xy_0_45","xy_0_46","xy_0_47","xy_0_48","xy_0_49","xy_0_50","xy_0_51","xy_0_52","xy_0_53","xy_0_54","xy_0_55","xy_0_56","xy_0_57","xy_0_58","xy_0_59","xy_0_60","xy_0_61","xy_0_62","xy_0_63","xy_0_64","xy_0_65","xy_0_66","xy_0_67","xy_0_68","xy_0_69","xy_0_70","xy_0_71","xy_0_72","xy_0_73","xy_0_74","xy_0_75","xy_0_76","xy_0_77","xy_0_78","xy_0_79","xy_0_80","xy_0_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",43493,48049,51822,50411,50963,49130,48306,47105,45642,45662,46488,45428,44379,44923,44696,45948,46603,49293,51032,51438,51896,52757,53252,54353,55597,57551,59803,62070,65056,66809,70961,71688,74054,74570,74992,74317,72999,71803,71592,70281,70078,69552,69369,70046,68057,67133,68639,64614,60761,59372,59742,57212,56547,54297,49157,47610,44452,45348,44488,41025,37495,40315,42816,39168,35928,39155,36514,37010,30504,26765,33499,24182,24780,26769,27790,26402,24593,25125,23441,21228,19269,17094,15122,12562,11150,9603,7997,6836,5517,4359,3369,2303,1693,1251,894,734,510,364,273,217,327,41027,45498,48464,47468,47704,46761,45547,45114,43358,43541,43094,42456,41671,42560,42400,43378,44111,46157,48255,48080,49083,50030,50739,52077,53542,55019,57681,59419,62314,64205,67296,68125,70096,70971,71485,70895,70303,68833,69111,67753,67835,67857,68325,69591,66789,67241,68647,64507,60987,59211,59664,57588,56932,54962,49813,48741,46079,46215,45401,42418,39201,42559,45779,41927,38741,42409,39719,40813,34155,30296,38783,28981,30077,32671,35390,33942,32348,33278,32181,29519,28534,26020,24097,20914,19583,17243,15479,13278,11737,9247,7766,5464,4457,3475,2643,2103,1609,1125,867,576,1058
"02","Aragón",6369,6761,7071,6849,6692,6498,6470,6345,6102,6154,6118,6004,5914,5885,5886,5865,5991,6115,6231,6242,6472,7037,7256,7364,7724,8293,8667,8861,9435,10072,10770,11000,11655,12073,12230,12242,12075,11604,11842,11332,11591,11247,11150,10997,10848,10712,11056,10601,10445,9982,9989,9877,9645,9330,8798,8539,7871,7890,7925,7235,7229,7290,7510,6984,6776,6845,6607,6284,5725,5197,5849,4029,4369,4969,5586,5475,5388,5509,5270,5033,4621,4328,3892,3562,3090,2818,2472,2151,1788,1503,1136,718,546,398,292,224,172,117,90,57,93,6064,6336,6544,6431,6244,6084,6240,6051,5777,5923,5699,5607,5345,5603,5602,5541,5707,5688,6045,6093,6087,6521,7042,7205,7580,7717,7863,8104,8728,9250,9751,10100,10500,10758,10741,10859,10550,10435,10535,10416,10312,10106,10377,10458,10020,9998,10182,9883,9651,9640,9773,9417,9180,9062,8582,8328,7803,7898,7986,7384,7204,7586,7842,7196,7167,7286,6927,6911,6138,5718,6493,4692,4972,5939,6896,6693,6710,6958,6943,6313,6393,5984,5810,5234,4937,4404,4255,3848,3403,2815,2402,1772,1491,1115,836,658,518,388,305,165,284
"03","Asturias, principado de",3756,4169,4128,4170,4136,4100,4025,3891,3732,3913,3863,3826,3656,3760,3670,3812,3756,4065,4237,4400,4398,4599,4994,5370,5856,6098,6225,6748,6867,7312,7791,8120,8671,8908,9219,9084,8884,8535,8640,8680,8338,8297,8148,8375,8175,8198,8497,8273,8343,8319,8490,8460,8260,8468,8023,7701,7522,7492,7426,6932,6964,6943,7159,6410,6463,6420,5809,5533,4614,4395,4579,3536,3917,4137,5031,4816,4928,4725,4732,4148,4068,3479,3363,2824,2612,2301,1932,1593,1346,1059,809,597,438,315,234,168,128,91,65,37,52,3691,3987,4110,3928,3872,3884,3736,3783,3655,3621,3614,3493,3515,3513,3587,3617,3689,3718,4077,4156,4287,4481,4769,5249,5481,5737,6130,6312,6768,7193,7494,7964,8267,8626,8677,8708,8767,8516,8653,8417,8188,8163,8044,8393,8238,8344,8703,8493,8530,8498,8841,8874,8845,8819,8657,8272,7938,7986,7851,7289,7206,7646,7809,7265,7257,7209,6686,6445,5222,5007,5267,4388,5055,5365,6529,6293,6536,6516,6733,6093,6313,5723,5596,4957,4708,4331,3970,3465,3152,2423,2161,1584,1365,996,829,606,485,336,271,153,257
"04","Balears, illes",5344,6223,6655,6322,6266,6107,6038,5849,5858,5549,5660,5465,5378,5323,5236,5215,5299,5241,5610,5751,5843,6015,6285,6590,7060,7628,8032,8526,9230,9662,10420,10611,10861,11156,11434,11314,11258,10953,10976,10561,10296,9891,9748,9608,9400,9275,9258,8686,8199,7880,8186,7626,7417,7097,6747,6445,6378,6296,6450,5864,5604,5694,5985,5493,5298,5175,4965,4764,4354,3779,4230,3234,3138,3319,3328,3081,3080,2850,2646,2347,2248,1947,1722,1649,1478,1230,1111,955,746,681,505,363,264,217,159,126,94,61,42,25,39,5062,5905,6047,5856,5938,5558,5680,5646,5428,5438,5335,5170,5066,5054,4956,5000,4953,5058,5420,5423,5682,6057,6206,6730,7206,7743,8167,8503,8966,9497,9991,10107,10312,10283,10294,10236,10196,9891,9787,9822,9266,9229,8976,8843,8811,8684,8718,8291,7952,7716,7891,7393,7334,7233,6726,6664,6405,6245,6314,5773,5718,5736,6239,5628,5364,5166,5220,5123,4405,4016,4326,3512,3554,3738,3821,3829,3555,3759,3447,3293,3212,2984,2810,2612,2510,2188,2027,1768,1676,1354,1155,867,713,546,471,334,233,171,118,74,132
"05","Canarias",8327,9850,10603,10825,10907,10955,11093,11117,10991,11198,11210,11097,10582,10370,10667,10850,10967,11299,12042,11884,12215,12812,13047,13187,13545,13865,14693,15397,16404,17392,18178,18831,19073,19375,20007,20169,20577,20709,21006,20783,20660,19906,19437,19398,19004,18975,19114,18081,17286,16307,16037,14866,14410,14007,13332,12947,12097,11797,11714,11165,11065,10506,10370,9942,9541,9814,9535,8907,8695,7663,8045,5971,6376,6311,6669,6466,5988,5616,5199,4514,4024,3484,3092,2612,2337,1965,1683,1409,1169,966,719,504,412,338,269,218,171,127,96,61,103,7933,9345,9982,10137,10437,10314,10666,10372,10310,10504,10508,10597,9878,10302,10251,10355,10246,10665,11042,11091,11764,12286,13020,13421,13846,14322,14977,15707,16786,17449,18260,18485,18572,18379,18921,19189,19504,19856,19649,19426,19454,19038,18421,18542,18266,18436,18140,17164,16857,16187,15734,14489,14141,13512,13198,12760,12460,12070,11597,11372,10964,10761,10421,10266,10239,10331,9691,9278,9138,8016,8803,6712,6945,7309,8063,7660,7401,7047,6884,6100,5592,5052,4716,4053,3577,3187,2993,2482,2257,1755,1497,1117,948,783,606,550,414,297,208,163,310
"06","Cantabria",2703,2960,3119,2892,2885,2877,2745,2734,2616,2478,2563,2467,2363,2453,2398,2390,2403,2499,2774,2701,2827,2766,2950,3119,3325,3435,3623,3906,4093,4512,4771,4834,5157,5273,5327,5284,5163,4991,4908,4835,4963,4856,4853,4855,4748,4686,4633,4602,4520,4523,4530,4551,4590,4492,4257,4054,3791,3743,3805,3541,3570,3457,3627,3284,3093,2829,2726,2699,2320,2132,2297,1598,1942,2055,2277,2247,2213,2104,2088,1891,1838,1634,1592,1304,1197,1024,937,763,627,497,337,244,226,145,113,82,55,33,26,18,19,2497,2737,2904,2695,2640,2749,2717,2617,2511,2426,2507,2327,2186,2203,2255,2228,2184,2411,2438,2511,2602,2694,2920,3028,3167,3408,3624,3785,3991,4275,4617,4729,4984,5070,5147,5082,4849,4886,4958,4658,4842,4592,4612,4696,4731,4685,4510,4647,4458,4495,4584,4723,4499,4574,4120,4055,3983,3997,3837,3626,3615,3706,3779,3431,3239,3203,3030,2870,2606,2429,2642,1967,2245,2576,2860,2778,2835,2900,2998,2668,2738,2549,2465,2196,2133,1937,1798,1591,1380,1144,992,738,674,518,403,316,289,184,128,75,141
"07","Castilla y león",10059,10500,10996,10792,10686,10717,10702,10386,10503,10243,10589,10207,10170,10537,10402,10490,10859,11304,11867,12162,12343,12838,13382,13699,14472,15333,15727,15907,16735,17671,18479,18778,19923,19874,20470,20034,20216,19790,19809,20207,19848,20333,20117,20440,20072,20495,20671,20766,20105,20225,20251,19996,19392,19000,18388,17481,16561,16460,16189,15075,15157,14988,15906,14011,13315,14136,13583,13690,11923,11229,12337,8930,9493,10611,12660,11823,11729,11545,11479,10709,10253,9037,8772,7761,7220,6216,5562,5007,4229,3412,2436,1664,1256,1044,815,579,411,335,236,179,270,9370,9949,10424,10032,10107,10107,10090,10242,9759,9763,9785,9861,9542,10063,9938,10064,10060,10746,11090,11175,11842,12421,12510,13380,13746,14144,14718,14970,15567,16178,16932,17557,18460,18409,19111,18655,18927,18501,18672,18644,18837,19153,19235,19598,19345,19746,20436,19280,19423,18905,19373,18793,18245,18214,17118,16178,15373,15291,14938,14105,14549,15038,15288,13867,13640,14782,14035,14203,12726,12181,13802,10178,10838,12404,15436,14359,14576,14538,14770,14007,14001,12876,12903,11635,11273,10007,9458,8749,7678,6376,5288,3875,3344,2579,2101,1771,1320,1054,737,527,926
"08","Castilla - la mancha",10446,11540,12175,11748,11897,11373,11440,11231,10852,10766,11035,10992,10627,10693,10841,11095,11343,11540,12097,12365,12529,12977,13377,13716,14178,14301,15264,15744,16600,17352,18218,18558,19424,19402,19350,19258,18827,18459,18034,17652,18006,17740,17836,17728,17017,17024,17492,16456,15747,15612,15838,15160,14494,13732,12315,11564,10915,10888,10871,9740,9817,9852,10230,9265,8258,8852,8758,8858,7341,6427,9795,4731,6607,7859,7913,7770,7543,7713,7576,7136,6932,6282,5837,5082,4736,3811,3352,3054,2611,2017,1378,933,773,552,462,279,272,151,121,63,108,9893,10755,11395,11178,10889,10808,10557,10694,10088,10334,10303,10433,10230,10338,10171,10531,10616,10828,11650,11646,11800,12523,12749,13184,13496,13479,13995,14431,15122,15552,16291,16505,16979,16706,17548,16982,16753,16500,16486,16088,16335,16538,16453,16136,15718,15775,15993,15379,14790,14488,14492,14039,13293,12869,11464,10916,10400,10254,10442,9392,9619,9868,10484,9442,8756,9302,9362,9483,8221,7125,11160,5854,7776,9309,9721,9421,9149,9670,9169,8840,9027,8466,7864,7154,6648,5994,5429,4858,4389,3565,2864,2016,1793,1356,1111,806,603,445,341,252,352
"09","Cataluña",42978,44709,45797,43909,43532,42727,41654,40567,38616,37607,37738,36400,35458,35470,34914,34250,34510,35069,36357,36343,37034,38109,39343,41110,42879,46329,49044,51909,56766,60740,64490,67475,71862,73390,74499,74778,73916,71409,70295,68318,67031,64311,63609,62816,61206,59740,59778,55358,54017,51604,51665,50253,49633,48049,45096,44051,42283,42153,41936,38940,37768,39587,41263,37771,35017,36817,34075,33047,28187,26117,32806,18121,22131,26141,26624,25098,24065,23844,22392,20521,19579,17347,15811,13965,12778,11037,9646,8277,6587,5531,3954,2746,2156,1580,1191,899,654,460,305,167,305,39781,41165,43025,41306,41002,40113,39791,38166,36654,35827,36076,34674,32804,33256,32114,32241,32413,32766,33811,33814,34832,36342,38540,40035,42900,45806,48627,51023,54665,57257,61209,63161,66324,67588,68134,68110,67161,64995,64121,62177,61095,59461,58512,59110,57261,56972,57277,54350,52820,51836,51876,51354,50539,49338,46425,45407,44229,43875,43886,41369,40307,42152,44778,40615,38274,40204,38054,36863,31225,29567,36594,21087,25987,31277,33724,31903,31193,31712,30991,29539,29241,26231,25142,23167,22629,20118,18562,16115,14688,11931,10178,7568,6299,4903,3744,2904,2319,1620,1231,749,1239
"10","Comunitat valenciana",25072,27085,29255,28542,28169,27466,27391,26644,25739,25495,25351,24438,24124,24314,24321,24420,24415,25586,26227,26282,26834,27573,28524,29432,30364,31636,33417,34606,37727,40183,42677,44607,47322,48347,48358,47996,47352,45829,45465,44875,44360,43437,42883,42840,41284,40635,40824,38997,37094,36237,36246,35558,34336,33240,30301,29993,28243,28173,29037,26822,26300,26837,28687,26560,25601,25519,24920,24470,21667,20447,25726,15736,18826,19703,18656,18081,17192,16840,15237,14009,13372,11643,10436,8846,8461,6993,5974,4982,4149,3309,2378,1676,1239,863,766,519,395,254,208,119,184,23286,25294,27220,26936,26648,26185,25634,25463,24313,24055,24151,23717,22675,22928,22931,22960,22990,23644,24769,25033,25528,26417,27575,28292,29803,31081,32457,33595,35960,37964,40443,41643,43461,43998,44271,43396,43866,41865,41433,41176,40867,40647,40525,40886,39157,38750,39737,37368,36758,35921,36452,35644,34579,33772,31494,31148,29700,29746,30301,28562,28301,29430,30647,28952,27714,28035,27686,26592,23876,22034,28829,17655,21445,22568,21776,21357,21081,21399,19609,18823,18927,16900,16162,14365,13877,12292,10827,9435,8628,6762,5533,4134,3337,2552,1869,1499,1074,772,573,375,638
