"codine","where_geoname","xy_0_1","xy_1_2","xy_2_3","xy_3_4","xy_4_5","xy_5_6","xy_6_7","xy_7_8","xy_8_9","xy_9_10","xy_10_11","xy_11_12","xy_12_13","xy_13_14","xy_14_15","xy_15_16","xy_16_17","xy_17_18","xy_18_19","xy_19_20","xy_20_21","xy_21_22","xy_22_23","xy_23_24","xy_24_25","xy_25_26","xy_26_27","xy_27_28","xy_28_29","xy_29_30","xy_30_31","xy_31_32","xy_32_33","xy_33_34","xy_34_35","xy_35_36","xy_36_37","xy_37_38","xy_38_39","xy_39_40","xy_40_41","xy_41_42","xy_42_43","xy_43_44","xy_44_45","xy_45_46","xy_46_47","xy_47_48","xy_48_49","xy_49_50","xy_50_51","xy_51_52","xy_52_53","xy_53_54","xy_54_55","xy_55_56","xy_56_57","xy_57_58","xy_58_59","xy_59_60","xy_60_61","xy_61_62","xy_62_63","xy_63_64","xy_64_65","xy_65_66","xy_66_67","xy_67_68","xy_68_69","xy_69_70","xy_70_71","xy_71_72","xy_72_73","xy_73_74","xy_74_75","xy_75_76","xy_76_77","xy_77_78","xy_78_79","xy_79_80","xy_80_81","xy_81_82","xy_82_83","xy_83_84","xy_84_85","xy_85_86","xy_86_87","xy_87_88","xy_88_89","xy_89_90","xy_90_91","xy_91_92","xy_92_93","xy_93_94","xy_94_95","xy_95_96","xy_96_97","xy_97_98","xy_98_99","xy_99_100","xy_100_","xx_0_1","xx_1_2","xx_2_3","xx_3_4","xx_4_5","xx_5_6","xx_6_7","xx_7_8","xx_8_9","xx_9_10","xx_10_11","xx_11_12","xx_12_13","xx_13_14","xx_14_15","xx_15_16","xx_16_17","xx_17_18","xx_18_19","xx_19_20","xx_20_21","xx_21_22","xx_22_23","xx_23_24","xx_24_25","xx_25_26","xx_26_27","xx_27_28","xx_28_29","xx_29_30","xx_30_31","xx_31_32","xx_32_33","xx_33_34","xx_34_35","xx_35_36","xx_36_37","xx_37_38","xx_38_39","xx_39_40","xx_40_41","xx_41_42","xx_42_43","xx_43_44","xx_44_45","xx_45_46","xx_46_47","xx_47_48","xx_48_49","xx_49_50","xx_50_51","xx_51_52","xx_52_53","xx_53_54","xx_54_55","xx_55_56","xx_56_57","xx_57_58","xx_58_59","xx_59_60","xx_60_61","xx_61_62","xx_62_63","xx_63_64","xx_64_65","xx_65_66","xx_66_67","xx_67_68","xx_68_69","xx_69_70","xx_70_71","xx_71_72","xx_72_73","xx_73_74","xx_74_75","xx_75_76","xx_76_77","xx_77_78","xx_78_79","xx_79_80","xx_80_81","xx_81_82","xx_82_83","xx_83_84","xx_84_85","xx_85_86","xx_86_87","xx_87_88","xx_88_89","xx_89_90","xx_90_91","xx_91_92","xx_92_93","xx_93_94","xx_94_95","xx_95_96","xx_96_97","xx_97_98","xx_98_99","xx_99_100","xx_100_"
"01","Andalucía",36817,40010,41495,41832,40852,40124,41066,41105,43181,43872,46625,48372,48619,49573,49831,49630,50451,51276,52674,54760,56568,59073,60788,64486,65356,67856,68194,68754,68513,67097,66434,66252,65205,65442,65096,65048,66095,65011,64517,66107,62364,58825,57438,58377,55808,55459,53301,48493,47000,44018,45045,44255,40720,37495,40353,43079,39292,36163,39910,36995,38237,31562,27983,36136,26153,27482,30410,32637,31639,30304,32120,30736,28661,27188,25239,23593,20809,19621,17925,16221,14750,13015,11404,9401,7255,6030,5004,4128,3588,2937,2363,1842,1532,1143,736,537,371,257,188,108,516,34592,37485,39046,38358,37813,38351,39478,39414,40938,41533,43816,46047,45388,46609,47085,46664,47773,48866,50042,52348,53906,56548,58096,61226,61776,64125,64719,65712,65144,64504,63597,63707,62717,62846,63159,63613,65152,63301,63785,65299,61692,58321,56589,57249,55170,54695,52910,47961,46947,44331,44692,43965,40707,37727,41111,44312,40472,37447,41557,38799,40267,33890,30097,39412,29469,31068,34060,38015,36606,35207,37322,36584,34481,34460,32357,31035,28079,27707,25670,24419,22337,21615,18312,17042,13514,12362,10815,9079,8104,7182,5826,4771,3810,3139,2213,1579,1248,837,651,398,1039
"02","Aragón",5290,5236,5393,5382,5277,5232,5238,5166,5315,5335,5383,5534,5415,5633,5875,5885,5867,6154,6561,6939,7065,7598,8146,8871,9320,10067,10299,10761,10889,10896,10525,10876,10429,10616,10347,10198,10189,10322,10155,10552,10182,9975,9555,9710,9576,9478,9196,8735,8491,7882,7955,8053,7367,7388,7570,7812,7241,7143,7184,7052,6741,6229,5757,6478,4459,4905,5642,6538,6376,6523,6770,6555,6443,6175,5896,5712,5377,4973,4723,4586,4150,3727,3401,2845,2156,1807,1545,1272,1189,972,764,698,458,364,238,217,144,104,69,35,85,4906,4899,5158,4997,4911,4781,5094,5048,4998,5171,5138,5458,5331,5174,5393,5663,5733,5935,6042,6360,6616,7277,7664,8292,8666,9215,9542,9654,9705,9541,9539,9568,9412,9377,9216,9441,9556,9448,9455,9696,9334,9229,9164,9391,9023,8874,8797,8341,8095,7641,7771,7845,7291,7163,7567,7876,7183,7217,7418,7051,6991,6298,5882,6731,4865,5163,6166,7395,7087,7249,7619,7639,7147,7423,7132,7085,6553,6495,6102,6116,5871,5717,5026,4696,3694,3511,2948,2621,2373,2149,1741,1480,1146,927,634,504,380,241,225,114,233
"03","Asturias, principado de",3005,3265,3562,3510,3496,3124,3241,3371,3520,3493,3769,3921,4070,4096,4208,4540,4959,5408,5679,5831,6307,6554,7013,7583,7929,8408,8724,9010,8802,8623,8218,8402,8335,7984,7902,7754,8124,7909,7974,8260,8115,8200,8207,8454,8381,8316,8512,8156,7852,7688,7692,7681,7157,7267,7334,7493,6778,6892,6818,6202,5990,5075,4803,5109,3979,4480,4793,5936,5740,6043,6012,6045,5510,5634,4929,4948,4518,4347,3984,3691,3203,3014,2625,2237,1753,1438,1221,1022,874,754,576,476,367,264,192,109,107,60,30,33,48,2919,3222,3203,3252,3155,2983,2946,3271,3313,3387,3439,3813,3856,3952,4079,4274,4698,5000,5256,5617,5943,6371,6948,7370,7767,8082,8479,8449,8433,8441,8141,8304,8066,7869,7754,7710,7915,7935,8006,8398,8346,8300,8301,8724,8669,8716,8724,8591,8196,7937,7971,7868,7273,7218,7656,7836,7277,7327,7386,6762,6538,5339,5167,5439,4536,5285,5652,7015,6715,7083,7129,7443,6872,7314,6747,6830,6261,6224,5945,5694,5332,5238,4398,4197,3507,3259,2695,2510,2101,2001,1587,1462,988,938,612,523,322,245,167,114,196
"04","Balears, illes",4664,5222,4959,5089,4789,4883,4865,4757,4777,4775,4798,5121,5211,5139,5086,5126,5115,5230,5468,5644,5999,6454,6955,7617,8254,8639,9059,9631,9784,9814,9856,9911,9608,9341,8938,8813,8794,8584,8566,8675,8055,7500,7427,7754,7210,7038,6784,6489,6222,6146,6039,6246,5718,5524,5537,6019,5426,5308,5278,5015,4858,4314,3870,4388,3310,3320,3552,3790,3489,3521,3486,3305,3040,2986,2699,2515,2517,2331,2016,1930,1811,1574,1514,1299,1003,913,758,717,536,494,368,289,244,142,147,90,55,40,25,8,37,4327,4798,4829,4813,4506,4595,4561,4488,4575,4521,4662,4946,4764,4937,4911,4856,4891,4980,5118,5492,5602,6150,6823,7367,7845,8379,8674,8888,8994,9196,8993,8982,8933,8498,8378,8184,8137,8076,7985,8079,7658,7337,7111,7348,6901,6820,6799,6217,6204,6003,5817,5909,5386,5368,5420,5917,5290,5110,5011,4981,4923,4301,3871,4220,3465,3558,3791,3988,4018,3739,4070,3763,3685,3647,3537,3405,3290,3229,3012,2978,2686,2697,2312,2267,1853,1723,1539,1379,1188,986,865,628,563,430,313,230,181,120,80,47,82
"05","Canarias",7427,9293,10151,10260,10010,9821,9230,9489,10156,10270,10643,11158,10955,11322,11777,11777,11710,11820,11863,12535,13114,14084,15157,16034,16751,17180,17865,18780,19149,19557,19751,20353,19956,19783,19134,18649,18707,18253,18319,18451,17469,16725,15802,15579,14455,13883,13702,13176,12683,11844,11614,11546,10965,10929,10386,10147,9666,9374,9879,9313,8778,8739,7646,8334,6092,6654,6865,7532,7322,7102,6899,6597,5813,5386,4837,4531,4003,3721,3265,2996,2742,2357,2163,1667,1317,1250,1146,955,849,809,556,490,362,262,226,160,103,79,58,39,125,6896,8644,9578,9528,9593,9077,9819,10002,9806,9695,10171,10500,10273,10789,11090,11448,11316,11388,11535,12073,12839,13921,14859,15848,16450,16849,16836,17580,17955,18427,18838,18731,18437,18405,18066,17393,17620,17401,17555,17400,16266,15975,15301,14907,13684,13348,12805,12426,12097,11686,11327,11001,10683,10264,10152,9791,9596,9588,9858,9147,8896,8862,7686,8618,6576,7031,7432,8478,8034,7995,7741,7751,6937,6548,6064,5838,5227,4816,4408,4417,3903,3715,3164,2927,2325,2217,2083,1835,1710,1575,1214,967,798,688,456,393,301,232,149,96,246
"06","Cantabria",2412,2383,2202,2293,2177,2148,2189,2136,2112,2157,2266,2484,2426,2552,2547,2676,2803,2998,3107,3267,3482,3662,4051,4294,4336,4611,4725,4819,4776,4681,4605,4504,4486,4612,4496,4541,4494,4473,4406,4341,4385,4322,4369,4361,4496,4522,4417,4205,4027,3831,3788,3881,3626,3669,3543,3726,3389,3257,2976,2823,2804,2446,2265,2528,1758,2147,2344,2664,2634,2645,2612,2646,2482,2441,2221,2268,2022,1965,1764,1722,1474,1318,1163,923,726,699,570,512,424,327,268,208,166,120,108,65,34,26,24,5,26,2185,2218,2163,2245,2077,1943,1971,1991,2013,1984,2155,2205,2274,2394,2402,2585,2656,2777,2974,3114,3312,3512,3751,4064,4254,4501,4548,4741,4592,4400,4455,4503,4328,4450,4324,4231,4432,4430,4422,4296,4433,4286,4301,4436,4592,4379,4425,4075,3981,3877,3905,3779,3577,3574,3635,3723,3381,3211,3204,3045,2860,2605,2428,2670,2053,2271,2657,2996,2883,3017,3153,3240,2932,3103,2962,2980,2675,2679,2609,2425,2362,2148,1908,1771,1487,1481,1276,1193,985,995,789,638,496,414,285,237,165,115,76,51,116
"07","Castilla y león",7992,8747,8719,9224,8764,9190,9502,9338,9598,10024,10377,10971,11186,11292,11700,12143,12408,13127,13921,14435,14811,15815,16568,17605,18008,19211,19226,19587,19273,19227,18981,18906,19034,18915,19191,19057,19349,19269,19758,19931,20005,19453,19562,19892,19586,19023,18769,18221,17460,16583,16577,16329,15186,15395,15216,16319,14388,13686,14650,14038,14186,12491,11914,13200,9728,10404,11841,14491,13687,13830,13986,14196,13519,13372,12219,12246,11263,11172,10062,9529,9112,8301,7444,5887,4571,3874,3459,3058,2706,2216,1965,1566,1326,1005,788,558,396,302,211,126,333,7776,8073,8444,8579,8468,8592,9082,8949,9322,9232,9919,10290,10300,10843,11283,11245,12021,12396,12932,13702,14165,14976,15582,16537,17176,17918,18079,18692,18315,18215,17823,17830,17794,17921,18179,18275,18681,18671,19095,19721,18644,18820,18462,18804,18310,17821,17821,16803,15944,15053,15014,14647,13950,14425,14767,15113,13666,13597,14758,13952,14136,12759,12208,14027,10455,11118,12970,16353,15261,15538,15729,16247,15518,16034,14919,15312,14311,14446,13425,13198,12792,12139,10677,9634,7797,7473,6491,5954,5572,4846,4478,3688,2942,2355,1849,1317,976,694,512,329,717
"08","Castilla - la mancha",7762,8445,8821,9210,9194,9159,9172,9402,9837,9993,10265,10794,10830,11045,11160,11157,11159,11375,11263,12113,12367,13043,13755,14210,14444,15396,15239,15498,15507,15348,15351,15044,14954,15358,15308,15552,15517,15381,15373,15983,15257,14699,14594,14872,14270,13743,13068,11712,11028,10473,10474,10514,9427,9571,9655,10129,9100,8165,8764,8706,8795,7425,6496,10130,4955,7073,8659,8907,8852,8843,9404,9254,8852,9034,8460,8259,7650,7431,6317,5983,5886,5391,4687,3561,2716,2419,2047,1806,1541,1356,1121,883,674,479,424,284,225,119,107,58,126,7323,7901,8434,8573,8720,8808,8794,8804,9294,9456,9730,10491,10231,10290,10700,10468,10638,10726,10810,11054,11377,11896,12359,12936,13199,13809,13556,14451,14033,14106,13908,14200,13704,14198,14508,14606,14423,14254,14414,14798,14264,13721,13541,13679,13144,12463,12068,10826,10248,9735,9705,9929,8837,9172,9389,9956,8949,8345,8889,8990,9092,7963,6941,11135,5852,7854,9482,10200,9863,9831,10544,10196,9847,10527,9978,9612,8975,8857,8181,7970,7508,7361,6491,5798,4425,4407,3760,3388,3055,2553,2193,1931,1480,1154,871,631,464,326,245,143,273
"09","Cataluña",35873,35413,34843,34660,32902,31952,32055,31193,30648,30842,31096,31868,31618,32013,32184,32714,33186,33940,36055,37527,39643,43621,47708,51398,55721,60719,63399,65678,67449,67159,65330,65033,63439,62384,60773,59797,60052,59040,57611,58034,54021,53002,50914,51111,49893,49686,48343,45585,44578,43154,43186,43155,40313,39299,41354,43550,40093,37501,39683,36979,36145,30727,28964,36624,20576,25299,30331,31376,29922,29165,29584,28405,26922,26260,24167,23047,21255,20531,18939,17606,15989,14249,12876,10110,7953,6949,5880,5126,4387,3632,2968,2314,1737,1426,921,699,446,288,186,139,239,33207,33413,33154,33056,31436,29653,30180,29073,28985,29275,29491,30393,29778,30009,30219,30983,30996,32279,34275,35918,38313,41897,44733,48994,52050,56233,58804,60577,61462,61031,59737,59045,57655,56924,55391,54951,55620,54542,54210,54895,52162,50869,50080,50368,50012,49426,48371,45622,44807,43756,43763,43768,41420,40328,42510,45365,41254,38953,41080,38845,37676,32216,30338,38025,21969,27281,33000,36272,34335,33659,34955,34478,33469,33819,31164,30733,29209,29335,27494,26363,24537,23658,21143,19564,15900,14978,12775,11442,10078,9062,7564,6321,4990,3945,2919,2048,1557,1079,719,466,859
"10","Comunitat valenciana",21048,22351,22388,22208,21496,21402,21486,21552,21798,21954,23010,23683,23404,23842,23986,24517,24813,25354,26261,27761,28586,31573,33880,36253,38469,41254,42389,43046,42806,42289,41607,41246,40836,40486,39828,39514,39719,38718,38160,38626,36998,35221,34263,34574,33986,33031,32023,29240,28937,27289,27248,28034,25892,25383,25751,27494,25156,24231,24683,23687,23748,20929,20009,26196,15724,19621,21118,20708,20417,19826,20076,18789,17861,17942,16117,15243,13528,13734,12151,11110,10065,9212,7920,6279,4923,4130,3414,2945,2515,2168,1707,1378,963,783,512,381,268,165,133,63,321,19944,20815,21074,21131,20727,20179,20329,20270,20536,20762,21390,22437,22376,22708,22872,23195,23045,24100,24969,26271,27642,29896,31854,34787,36385,38171,39010,39601,39136,39553,37939,37643,37531,37232,37119,37022,37585,36603,36155,37065,34997,34376,33589,34238,33460,32394,31824,29414,29189,27690,27785,28248,26524,26217,27275,28364,26315,25256,26187,25426,24836,22473,20868,28181,17122,21318,22807,22550,22343,22373,23150,21692,21224,21964,20106,19976,18332,18567,17397,16193,14857,14747,12705,11535,9251,8527,7337,6279,5647,4766,3828,3345,2423,2043,1416,1036,708,509,365,280,589
