"codine","where_geoname","xy_0_4","xy_5_9","xy_10_14","xy_15_19","xy_20_24","xy_25_29","xy_30_34","xy_35_39","xy_40_44","xy_45_49","xy_50_54","xy_55_59","xy_60_64","xy_65_69","xy_70_74","xy_75_79","xy_80_84","xy_85_","xx_0_4","xx_5_9","xx_10_14","xx_15_19","xx_20_24","xx_25_29","xx_30_34","xx_35_39","xx_40_44","xx_45_49","xx_50_54","xx_55_59","xx_60_64","xx_65_69","xx_70_74","xx_75_79","xx_80_84","xx_85_"
"42","Soria",1935,2324,2826,3009,3436,3816,3498,2843,2659,2473,2310,3149,3320,3132,2156,1749,1508,1020,2004,2183,2703,2900,3274,3385,2956,2418,2249,2254,2362,3234,3402,3301,2677,2555,1988,1529
"43","Tarragona",13877,17082,22268,22718,21442,20894,19786,18428,17779,15500,13241,14893,14737,13348,9174,6796,4212,2421,12910,16050,20698,21430,20339,20462,19639,18036,17019,15096,13118,15645,15777,14579,11775,9597,6700,4538
"44","Teruel",3336,3799,4401,4536,4922,5439,5300,4422,3964,3661,3492,5046,5601,5112,3348,2636,1931,1305,3258,3568,4140,4259,4586,5030,4482,3839,3438,3347,3556,5076,5281,5065,4045,3638,2747,2074
"45","Toledo",14617,16629,19085,19529,19820,19584,18101,14988,13770,12103,11325,14230,14642,13474,8615,6467,4393,2560,13772,15499,18144,18477,18663,18307,16754,13618,13091,12025,12122,14390,15163,14096,10813,9464,6587,4626
"46","Valencia/València",54695,67055,87829,93117,89556,84726,78336,68599,65813,59400,55393,57267,53626,45702,29938,22296,13202,6599,51333,63223,84253,89692,86511,83495,78869,69745,67229,60973,57570,61493,60553,54813,42748,34589,23076,14613
"47","Valladolid",11082,14793,20773,22652,21699,19500,18114,16713,16997,15595,12540,13217,12225,10258,6692,5081,3282,1914,10451,14036,19786,21607,20833,19370,18525,16666,16682,15308,12468,13689,13158,11892,8913,7904,5567,4225
"48","Bizkaia",23533,31142,43663,50005,49488,49100,45747,39907,38713,34961,30516,36723,33038,24436,14937,10378,5843,3416,22415,29704,41655,47664,47443,47993,45671,39813,38810,35630,32150,37430,34358,28781,21147,17336,12416,9144
"49","Zamora",4499,5635,6972,7437,7704,8060,7330,6300,5644,5556,5390,7330,7422,7024,4809,3922,2712,1678,4280,5308,6610,6944,7229,7222,6559,5266,5171,5395,6017,7706,8177,7661,6095,5785,3907,2912
"50","Zaragoza",18246,22339,29797,34065,33324,32712,30396,27092,26946,25238,21748,25880,24284,21721,14746,10568,6569,3964,17207,21213,28709,32167,31656,31147,29974,27140,27017,25207,22241,26996,26825,25157,19935,16010,11127,7964
"51","Ceuta",2660,2801,3066,3185,3144,3205,2685,2044,1728,1661,1590,1521,1329,1063,755,409,246,101,2538,2780,2959,3054,3047,3159,2748,2039,1709,1695,1634,1681,1541,1252,1016,741,506,323
"52","Melilla",2337,2654,2648,2431,2587,2685,2486,1888,1352,1221,1192,1177,1132,949,584,377,175,78,2178,2316,2421,2448,2529,2585,2393,1745,1390,1321,1341,1410,1360,1158,795,607,411,239
